iter	Passed	Remaining
0	142	142781
1	146	73058
2	150	49864
3	153	38209
4	156	31225
5	160	26547
6	163	23228
7	167	20748
8	170	18802
9	173	17169
10	176	15890
11	180	14826
12	183	13940
13	187	13185
14	190	12515
15	193	11930
16	197	11429
17	201	10969
18	204	10560
19	207	10187
20	211	9853
21	214	9554
22	218	9290
23	222	9032
24	225	8795
25	229	8579
26	232	8385
27	236	8196
28	239	8017
29	242	7854
30	246	7703
31	250	7563
32	253	7428
33	256	7297
34	260	7176
35	263	7068
36	267	6959
37	270	6856
38	274	6758
39	277	6665
40	281	6580
41	284	6492
42	288	6414
43	291	6337
44	295	6269
45	298	6198
46	302	6128
47	305	6062
48	309	5999
49	312	5945
50	316	5884
51	319	5826
52	323	5772
53	326	5720
54	330	5671
55	333	5621
56	336	5573
57	340	5526
58	343	5483
59	347	5441
60	350	5398
61	353	5355
62	357	5316
63	361	5281
64	364	5244
65	367	5205
66	371	5169
67	374	5135
68	378	5103
69	381	5069
70	384	5035
71	388	5004
72	391	4977
73	395	4949
74	399	4922
75	402	4894
76	405	4865
77	409	4840
78	412	4814
79	416	4788
80	419	4761
81	423	4737
82	426	4712
83	429	4688
84	433	4665
85	436	4643
86	440	4620
87	444	4601
88	447	4579
89	450	4559
90	454	4538
91	457	4518
92	461	4500
93	464	4480
94	468	4460
95	471	4441
96	475	4424
97	478	4405
98	482	4388
99	485	4370
100	489	4355
101	492	4339
102	496	4322
103	499	4305
104	503	4287
105	506	4271
106	509	4255
107	513	4239
108	516	4222
109	519	4206
110	523	4192
111	526	4177
112	530	4163
113	533	4149
114	537	4133
115	540	4120
116	544	4107
117	547	4093
118	551	4079
119	554	4065
120	557	4052
121	561	4038
122	564	4024
123	567	4010
124	571	3997
125	574	3985
126	577	3972
127	581	3959
128	584	3946
129	587	3934
130	591	3922
131	594	3910
132	598	3898
133	601	3886
134	605	3877
135	608	3866
136	611	3854
137	615	3843
138	618	3833
139	622	3823
140	625	3812
141	629	3800
142	632	3790
143	635	3779
144	639	3769
145	642	3759
146	646	3749
147	649	3739
148	653	3729
149	656	3720
150	659	3710
151	663	3700
152	666	3690
153	670	3682
154	673	3673
155	677	3664
156	680	3654
157	683	3645
158	687	3636
159	690	3627
160	694	3617
161	697	3608
162	700	3598
163	704	3590
164	707	3581
165	711	3572
166	714	3564
167	718	3555
168	721	3548
169	724	3539
170	728	3530
171	731	3522
172	735	3515
173	738	3506
174	741	3497
175	745	3489
176	748	3481
177	752	3473
178	755	3466
179	759	3458
180	762	3451
181	766	3444
182	769	3437
183	773	3429
184	776	3422
185	780	3415
186	784	3408
187	787	3401
188	790	3392
189	794	3385
190	797	3377
191	800	3370
192	804	3363
193	807	3356
194	811	3348
195	814	3340
196	817	3333
197	821	3326
198	824	3319
199	827	3311
200	831	3304
201	834	3298
202	838	3291
203	841	3283
204	844	3276
205	848	3269
206	851	3262
207	855	3256
208	858	3249
209	861	3242
210	865	3236
211	868	3229
212	872	3222
213	875	3216
214	879	3209
215	882	3203
216	886	3197
217	889	3190
218	892	3183
219	896	3176
220	899	3170
221	902	3164
222	906	3157
223	909	3151
224	913	3144
225	916	3138
226	919	3132
227	923	3126
228	926	3119
229	929	3113
230	933	3107
231	936	3100
232	939	3094
233	943	3087
234	946	3082
235	950	3076
236	953	3070
237	957	3064
238	960	3057
239	963	3052
240	967	3046
241	970	3039
242	973	3033
243	977	3027
244	980	3022
245	983	3015
246	987	3009
247	990	3003
248	993	2997
249	997	2991
250	1000	2986
251	1004	2980
252	1007	2974
253	1010	2967
254	1014	2962
255	1017	2957
256	1020	2951
257	1024	2945
258	1027	2940
259	1031	2934
260	1034	2929
261	1037	2923
262	1041	2917
263	1044	2912
264	1048	2907
265	1051	2901
266	1054	2895
267	1058	2889
268	1061	2884
269	1064	2879
270	1068	2873
271	1071	2868
272	1074	2862
273	1078	2858
274	1082	2852
275	1085	2847
276	1089	2842
277	1092	2837
278	1095	2831
279	1099	2826
280	1102	2820
281	1105	2815
282	1109	2810
283	1112	2805
284	1115	2799
285	1119	2794
286	1122	2789
287	1126	2784
288	1129	2779
289	1132	2773
290	1136	2768
291	1139	2762
292	1142	2757
293	1146	2752
294	1149	2747
295	1153	2742
296	1156	2737
297	1159	2732
298	1163	2727
299	1166	2722
300	1170	2717
301	1173	2712
302	1176	2707
303	1180	2702
304	1183	2696
305	1186	2691
306	1190	2686
307	1193	2681
308	1196	2676
309	1200	2671
310	1203	2666
311	1206	2661
312	1210	2656
313	1213	2651
314	1217	2646
315	1220	2641
316	1223	2637
317	1227	2632
318	1230	2627
319	1234	2622
320	1237	2617
321	1240	2612
322	1244	2607
323	1247	2603
324	1250	2598
325	1254	2592
326	1257	2588
327	1261	2584
328	1264	2579
329	1268	2574
330	1271	2570
331	1275	2565
332	1278	2561
333	1282	2556
334	1285	2551
335	1288	2547
336	1292	2542
337	1295	2537
338	1299	2532
339	1302	2528
340	1305	2523
341	1309	2519
342	1312	2514
343	1315	2509
344	1319	2504
345	1322	2500
346	1326	2495
347	1329	2490
348	1332	2485
349	1335	2481
350	1339	2476
351	1342	2472
352	1346	2467
353	1349	2462
354	1353	2458
355	1356	2453
356	1359	2448
357	1362	2444
358	1366	2439
359	1369	2434
360	1372	2429
361	1376	2425
362	1379	2420
363	1382	2415
364	1385	2411
365	1389	2406
366	1392	2401
367	1395	2396
368	1399	2392
369	1402	2388
370	1405	2383
371	1409	2379
372	1412	2374
373	1415	2369
374	1419	2365
375	1422	2361
376	1426	2357
377	1429	2352
378	1433	2348
379	1436	2343
380	1440	2339
381	1443	2335
382	1446	2330
383	1449	2325
384	1453	2321
385	1456	2317
386	1460	2312
387	1463	2308
388	1466	2303
389	1470	2299
390	1473	2295
391	1476	2290
392	1480	2286
393	1483	2281
394	1487	2277
395	1490	2273
396	1493	2268
397	1497	2264
398	1500	2260
399	1504	2256
400	1507	2251
401	1511	2247
402	1514	2243
403	1517	2239
404	1521	2234
405	1524	2230
406	1527	2226
407	1531	2221
408	1534	2218
409	1538	2213
410	1541	2209
411	1544	2204
412	1548	2200
413	1551	2196
414	1555	2192
415	1558	2187
416	1561	2183
417	1565	2179
418	1568	2175
419	1572	2170
420	1575	2166
421	1578	2162
422	1582	2158
423	1585	2153
424	1588	2149
425	1592	2145
426	1595	2140
427	1599	2137
428	1602	2132
429	1605	2128
430	1609	2124
431	1612	2120
432	1616	2116
433	1619	2112
434	1622	2107
435	1626	2103
436	1629	2099
437	1633	2095
438	1636	2091
439	1639	2086
440	1643	2082
441	1646	2078
442	1649	2074
443	1653	2070
444	1656	2066
445	1660	2061
446	1663	2058
447	1667	2054
448	1670	2049
449	1673	2045
450	1677	2041
451	1680	2037
452	1683	2033
453	1687	2029
454	1690	2024
455	1693	2020
456	1697	2016
457	1700	2012
458	1703	2008
459	1707	2004
460	1710	2000
461	1714	1996
462	1717	1992
463	1720	1987
464	1724	1983
465	1727	1979
466	1731	1975
467	1734	1971
468	1737	1967
469	1740	1963
470	1744	1959
471	1747	1955
472	1751	1951
473	1754	1946
474	1757	1942
475	1761	1939
476	1764	1934
477	1768	1930
478	1771	1926
479	1774	1922
480	1778	1918
481	1781	1914
482	1784	1910
483	1788	1906
484	1791	1902
485	1794	1898
486	1798	1894
487	1801	1890
488	1804	1886
489	1808	1882
490	1811	1878
491	1815	1874
492	1818	1869
493	1821	1865
494	1825	1861
495	1828	1857
496	1831	1853
497	1835	1849
498	1838	1845
499	1841	1841
500	1845	1837
501	1848	1833
502	1851	1829
503	1855	1825
504	1858	1821
505	1861	1817
506	1865	1813
507	1868	1809
508	1871	1805
509	1875	1801
510	1878	1797
511	1882	1793
512	1885	1789
513	1888	1785
514	1892	1781
515	1895	1777
516	1898	1773
517	1902	1769
518	1905	1765
519	1908	1761
520	1911	1757
521	1915	1753
522	1918	1749
523	1921	1745
524	1925	1741
525	1928	1738
526	1932	1734
527	1935	1730
528	1938	1726
529	1941	1722
530	1945	1718
531	1948	1714
532	1951	1710
533	1955	1706
534	1958	1702
535	1962	1698
536	1965	1694
537	1968	1690
538	1972	1686
539	1975	1682
540	1979	1679
541	1982	1675
542	1985	1671
543	1988	1667
544	1992	1663
545	1995	1659
546	1998	1655
547	2002	1651
548	2005	1647
549	2009	1643
550	2012	1640
551	2015	1635
552	2019	1632
553	2022	1628
554	2026	1624
555	2029	1620
556	2032	1616
557	2035	1612
558	2039	1609
559	2042	1605
560	2046	1601
561	2049	1597
562	2052	1593
563	2056	1589
564	2059	1585
565	2062	1581
566	2066	1577
567	2069	1573
568	2072	1570
569	2076	1566
570	2079	1562
571	2082	1558
572	2086	1554
573	2089	1550
574	2092	1546
575	2096	1543
576	2099	1539
577	2102	1535
578	2106	1531
579	2109	1527
580	2113	1523
581	2116	1520
582	2119	1516
583	2123	1512
584	2126	1508
585	2129	1504
586	2133	1500
587	2136	1496
588	2139	1493
589	2143	1489
590	2146	1485
591	2149	1481
592	2153	1477
593	2156	1473
594	2159	1470
595	2163	1466
596	2166	1462
597	2170	1458
598	2173	1455
599	2176	1451
600	2179	1447
601	2183	1443
602	2186	1439
603	2190	1435
604	2193	1432
605	2196	1428
606	2200	1424
607	2203	1420
608	2206	1416
609	2209	1412
610	2213	1409
611	2216	1405
612	2220	1401
613	2223	1397
614	2226	1393
615	2230	1390
616	2233	1386
617	2237	1382
618	2240	1379
619	2244	1375
620	2247	1371
621	2251	1368
622	2255	1364
623	2259	1361
624	2262	1357
625	2266	1354
626	2270	1350
627	2274	1347
628	2277	1343
629	2281	1339
630	2285	1336
631	2288	1332
632	2291	1328
633	2295	1324
634	2298	1321
635	2301	1317
636	2305	1313
637	2308	1310
638	2312	1306
639	2315	1302
640	2319	1298
641	2322	1295
642	2325	1291
643	2329	1287
644	2332	1283
645	2336	1280
646	2339	1276
647	2342	1272
648	2346	1268
649	2349	1265
650	2353	1261
651	2356	1257
652	2359	1254
653	2363	1250
654	2366	1246
655	2370	1242
656	2373	1239
657	2376	1235
658	2380	1231
659	2383	1227
660	2386	1224
661	2390	1220
662	2393	1216
663	2396	1212
664	2400	1209
665	2403	1205
666	2406	1201
667	2410	1197
668	2413	1194
669	2417	1190
670	2420	1186
671	2424	1183
672	2427	1179
673	2431	1176
674	2434	1172
675	2438	1168
676	2441	1164
677	2444	1161
678	2448	1157
679	2451	1153
680	2455	1150
681	2458	1146
682	2461	1142
683	2465	1138
684	2468	1135
685	2472	1131
686	2475	1127
687	2478	1124
688	2482	1120
689	2485	1116
690	2489	1113
691	2492	1109
692	2496	1106
693	2499	1102
694	2503	1098
695	2506	1094
696	2509	1091
697	2513	1087
698	2516	1083
699	2519	1079
700	2523	1076
701	2526	1072
702	2529	1068
703	2533	1065
704	2536	1061
705	2540	1057
706	2543	1054
707	2546	1050
708	2550	1046
709	2553	1043
710	2556	1039
711	2560	1035
712	2563	1031
713	2567	1028
714	2570	1024
715	2573	1020
716	2577	1017
717	2580	1013
718	2583	1009
719	2586	1006
720	2590	1002
721	2593	998
722	2597	995
723	2600	991
724	2604	987
725	2607	984
726	2611	980
727	2614	976
728	2617	973
729	2621	969
730	2624	965
731	2627	962
732	2631	958
733	2634	954
734	2637	951
735	2641	947
736	2644	943
737	2647	939
738	2651	936
739	2654	932
740	2657	929
741	2661	925
742	2664	921
743	2668	918
744	2671	914
