feature,mean_rmsle,std_rmsle,delta_vs_baseline
num_orders_rolling_mean_7,0.5108710697696981,0.0028453708231176746,-0.00038444037235085826
num_orders_rolling_mean_7,0.5108710697696981,0.0028453708231176746,-0.00038444037235085826
num_orders_rolling_mean_14_x_discount_pct,0.5109188203480919,0.002869260107150754,-0.0003366897939570679
category_Pasta,0.5109278841923323,0.002864626223868335,-0.00032762594971669223
num_orders_rolling_mean_2_x_homepage_featured,0.5109315403669482,0.0028829355849141775,-0.0003239697751007409
num_orders_rolling_mean_2_x_homepage_featured,0.5109315403669482,0.0028829355849141775,-0.0003239697751007409
price_diff_x_emailer,0.5109455070102573,0.0030961640357894922,-0.0003100031317916363
price_diff_x_emailer,0.5109455070102573,0.0030961640357894922,-0.0003100031317916363
num_orders_rolling_mean_5_x_checkout_price,0.5109893730334095,0.0028451805921413218,-0.0002661371086394304
num_orders_rolling_mean_4,0.510992874478602,0.00299489926862191,-0.0002626356634469751
center_orders_mean_x_checkout_price,0.5109930789137972,0.00301813591079448,-0.00026243122825175824
rolling_mean_2_x_emailer,0.5110049177021605,0.0030961008515975174,-0.0002505924398884529
num_orders_rolling_std_28,0.5110114659998992,0.002977194185709355,-0.00024404414214973524
center_orders_std,0.5110140131687826,0.002913628986423293,-0.0002414969732663641
num_orders_rolling_std_7,0.511022647712626,0.0028464505724823137,-0.0002328624294229975
num_orders_rolling_std_7,0.511022647712626,0.0028464505724823137,-0.0002328624294229975
checkout_price,0.5110243373966592,0.002980592398348676,-0.00023117274538975163
checkout_price_sq,0.5110301964295891,0.0030265475702283638,-0.00022531371245981813
checkout_price_sq,0.5110301964295891,0.0030265475702283638,-0.00022531371245981813
rolling_mean_2_x_home,0.5110370080722662,0.003004583264401852,-0.00021850206978279996
num_orders_rolling_mean_2_x_price_diff_x_emailer_for_promotion,0.5110455881676673,0.0031406932425178742,-0.00020992197438163274
checkout_price_x_homepage_featured,0.511047136032239,0.003069807872721903,-0.0002083741098100056
category_Biryani,0.5110518750601454,0.002945880620696798,-0.00020363508190357482
month_sin,0.511053749431533,0.002791338471267208,-0.00020176071051591915
price_diff_sq,0.511054665261339,0.0028823175933009306,-0.00020084488070992723
emailer_for_promotion_sq,0.5110555754606038,0.002933690580147946,-0.00019993468144519078
emailer_for_promotion_sq,0.5110555754606038,0.002933690580147946,-0.00019993468144519078
homepage_featured_sq,0.5110555754606038,0.002933690580147946,-0.00019993468144519078
homepage_featured_sq,0.5110555754606038,0.002933690580147946,-0.00019993468144519078
num_orders_rolling_mean_14_x_checkout_price,0.5110655275184028,0.0029902884987825485,-0.00018998262364611218
num_orders_rolling_mean_10,0.5110659757152919,0.002891152905370228,-0.00018953442675706533
meal_orders_mean_x_homepage_featured,0.5110710766738412,0.0029650086141393486,-0.0001844334682077342
num_orders_rolling_mean_2_x_emailer_for_promotion,0.5110726116414512,0.0029542053494374335,-0.00018289850059771684
num_orders_rolling_mean_2_x_emailer_for_promotion,0.5110726116414512,0.0029542053494374335,-0.00018289850059771684
discount_pct_sq,0.5110740942338261,0.0028998787368909166,-0.00018141590822284837
num_orders_rolling_mean_5,0.5110761690334763,0.0029446581658024965,-0.0001793411085726504
num_orders_rolling_mean_5,0.5110761690334763,0.0029446581658024965,-0.0001793411085726504
num_orders_rolling_mean_14_x_emailer_for_promotion,0.5110776695451532,0.003046999219003917,-0.00017784059689573972
num_orders_rolling_mean_2,0.5110799529947558,0.003105529676368513,-0.000175557147293115
center_orders_mean_cube,0.5110808735801641,0.0030218547770167878,-0.00017463656188487775
center_orders_mean_cube,0.5110808735801641,0.0030218547770167878,-0.00017463656188487775
category_Pizza,0.5110859051785955,0.00289539627332319,-0.00016960496345341802
price_diff_x_home,0.5110861353721456,0.00310453924532695,-0.0001693747699033077
num_orders_rolling_mean_5_x_emailer_for_promotion,0.5110961882817409,0.00285190673092159,-0.0001593218603080926
num_orders_rolling_mean_5_x_discount_pct_x_emailer_for_promotion,0.5110964528939171,0.00301608301881474,-0.00015905724813181088
category_Other Snacks,0.5111032649790695,0.0028630962917076024,-0.00015224516297940305
center_type_TYPE_A,0.5111055553064393,0.002933910889129252,-0.00014995483560964473
num_orders_rolling_mean_5_x_price_diff_x_homepage_featured,0.5111058507185042,0.003064343377624005,-0.0001496594235447235
category_Desert,0.5111067500253261,0.002876271137333129,-0.00014876011672282363
