feature,transform,rmsle
week,none,1.3811282025804172
week,square,1.3811282025804172
week,cube,1.3811282025804172
week,log,1.3811282025804172
week,symlog,1.3811282025804172
week,rank,1.3991618156939782
week,quantile,1.38154446267558
week,yeo_johnson,1.382759611037346
base_price,none,1.1278745063558133
base_price,square,1.1278745063558133
base_price,cube,1.1278745063558133
base_price,log,1.1278747057510665
base_price,symlog,1.1278747057510665
base_price,rank,1.5058930068566139
base_price,quantile,1.2521644122438271
base_price,yeo_johnson,1.3991158620967197
id,none,1.3862530034376512
id,square,1.3862532933023535
id,cube,1.3862586630754672
id,log,1.3862603536415357
id,symlog,1.3862603536415357
id,rank,1.3853214629421375
id,quantile,1.3862119643044453
id,yeo_johnson,1.3744162300028124
center_id,none,1.3216598171939118
center_id,square,1.3216598171939118
center_id,cube,1.3216598171939118
center_id,log,1.3216598171939118
center_id,symlog,1.3216598171939118
center_id,rank,1.439861966285913
center_id,quantile,1.3487275690550413
center_id,yeo_johnson,1.3216598171939118
meal_id,none,0.8904294772310962
meal_id,square,0.8904294772310962
meal_id,cube,0.8904294772310962
meal_id,log,0.8904294772310962
meal_id,symlog,0.8904294772310962
meal_id,rank,1.4418117012533385
meal_id,quantile,0.9761241987692476
meal_id,yeo_johnson,1.3947064550812547
homepage_featured,none,1.3232744146648647
homepage_featured,square,1.3232744146648647
homepage_featured,cube,1.3232744146648647
homepage_featured,log,1.3232744146648647
homepage_featured,symlog,1.3232744146648647
homepage_featured,rank,1.3103468129798015
homepage_featured,quantile,1.3232744146648647
homepage_featured,yeo_johnson,1.3232744146648647
checkout_price,none,1.1233538577368838
checkout_price,square,1.1233538577368838
checkout_price,cube,1.1233538577368838
checkout_price,log,1.1232121338213907
checkout_price,symlog,1.1232121338213907
checkout_price,rank,1.6525704133948347
checkout_price,quantile,1.2738359486120647
checkout_price,yeo_johnson,1.2365012625316028
emailer_for_promotion,none,1.3332468176390921
emailer_for_promotion,square,1.3332468176390921
emailer_for_promotion,cube,1.3332468176390921
emailer_for_promotion,log,1.3332468176390921
emailer_for_promotion,symlog,1.3332468176390921
emailer_for_promotion,rank,1.3251432263987197
emailer_for_promotion,quantile,1.3332468176390921
emailer_for_promotion,yeo_johnson,1.3332468176390921
