feature,importance
category_weekofyear_mean,2823
emailer_for_promotion_ewm_alpha_0.3,2440
price_diff,2130
num_orders_lag_1,1964
emailer_for_promotion_ewm_alpha_0.7,1905
discount_pct,1888
center_meal_orders_std_prod,1827
price_diff_x_emailer,1747
mean_orders_by_weekofyear,1687
discount,1644
center_meal_orders_median_prod,1567
weekofyear,1532
price_diff_x_home,1506
num_orders_lag_10,1503
num_orders_lag_5,1459
rolling_mean_5_x_emailer,1455
num_orders_lag_2,1434
num_orders_rolling_mean_21,1373
num_orders_lag_3,1323
price_ratio,1309
num_orders_rolling_std_14,1254
num_orders_rolling_mean_14,1254
weekofyear_cos,1227
orders_trend_percent,1202
orders_momentum,1166
center_orders_std,1148
weekofyear_sin,1079
homepage_featured_ewm_alpha_0.3,1017
center_orders_mean,1014
lag1_x_rolling_mean_3,1006
num_orders_rolling_mean_5,956
lag1_x_rolling_mean_2,926
homepage_featured_ewm_alpha_0.7,906
meal_orders_mean,887
num_orders_rolling_mean_3,861
center_meal_ratio,857
meal_orders_std,814
emailer_homepage_combined,654
rolling_mean_2_x_rolling_mean_3,652
center_orders_median,644
meal_orders_median,639
city_code,602
op_area,531
mean_orders_by_month,516
category_orders_mean,496
region_code,410
month,313
center_type_TYPE_C,310
month_sin,252
cuisine_Italian,227
month_cos,213
center_type_TYPE_A,197
cuisine_Thai,162
center_type_TYPE_B,147
category_Beverages,142
category_Sandwich,136
category_Salad,135
cuisine_Continental,84
category_Extras,78
category_Rice Bowl,67
cuisine_Indian,62
category_Pizza,34
category_Other Snacks,29
category_Starters,17
category_Desert,17
category_Seafood,13
category_Soup,8
category_Fish,3
category_Pasta,2
category_Biryani,0
