feature,mean_abs_shap
lag1_x_rolling_mean_3,80.28587449011701
center_meal_orders_median_prod,25.80975050091667
num_orders_lag_1,20.5532874255482
lag1_x_rolling_mean_2,18.86634672629528
num_orders_rolling_mean_21,15.430522945649852
num_orders_rolling_mean_14,14.158637035468672
center_meal_orders_mean_prod,13.633203893915883
checkout_price,11.106206366928172
price_diff_x_emailer,9.448638096470857
num_orders_rolling_mean_10,8.459216379599164
num_orders_lag_5,8.289372366933776
num_orders_rolling_mean_5,7.980764190331181
price_diff,7.071662867279952
rolling_mean_5_x_emailer,6.568640896502419
lag1_x_home,6.248680720289288
mean_orders_by_weekofyear,6.2453408760719835
rolling_mean_2_x_rolling_mean_3,5.058128129872643
rolling_mean_2_x_discount_pct,5.0400371753622
rolling_mean_2_x_home,4.89849016318078
num_orders_lag_10,4.852711828240331
homepage_featured_poly2_discount,4.669880745291608
rolling_mean_2_x_price_diff,3.8270781714883952
meal_mean_x_discount,3.5613273851960012
rolling_mean_3_x_emailer,3.3382031802647907
lag1_x_emailer,3.1882570126072443
num_orders_lag_3,2.928374115778799
center_mean_x_discount,2.75224095369329
price_diff_x_home,2.638748170995394
emailer_for_promotion_rolling_mean_7,2.252678865156731
num_orders_lag_2,2.21743955735111
lag1_x_lag2,2.0381587104703427
center_orders_mean,1.922151974183205
category_Beverages,1.8736980569117827
discount_pct,1.7673296399873575
homepage_featured,1.7665074524449398
meal_orders_std,1.7569682573198147
meal_orders_median,1.6988192432561133
weekofyear,1.620097669748203
base_price,1.5265139712526767
emailer_for_promotion_rolling_mean_21,1.4955351303397677
center_orders_mean_poly2_meal_orders_mean,1.4756156950201837
homepage_featured_rolling_mean_5,1.4734711529479527
weekofyear_sin,1.4611573083141025
price_ratio,1.4471557945342388
emailer_for_promotion_rolling_mean_20,1.4256547451276165
weekofyear_cos,1.376151652859016
rolling_mean_2_x_emailer,1.316422819011641
mean_orders_by_month,1.2866083791927443
num_orders_rolling_std_21,1.2476193110058196
lag1_x_month_sin,1.2243835906700498
emailer_for_promotion_rolling_mean_14,1.1923735755707527
seasonal_week_x_price,1.1825234387267618
emailer_for_promotion_rolling_mean_8,1.167870602796994
homepage_featured_rolling_mean_7,1.1577883853818636
emailer_for_promotion,1.1353608164723266
lag1_x_weekofyear_sin,1.1292880240222105
discount,1.1178477573419274
center_orders_std,1.0675987588040132
cuisine_Continental,1.0273053820573532
homepage_featured_rolling_mean_21,1.0103054925503008
num_orders_rolling_mean_3,0.9995951761540395
num_orders_rolling_std_3,0.9369681628637251
num_orders_rolling_std_10,0.9123785129792987
emailer_for_promotion_rolling_mean_13,0.9076337936453087
homepage_featured_rolling_mean_3,0.9013239146642207
num_orders_rolling_std_14,0.8668634636652515
cuisine_Italian,0.8639465490711351
homepage_featured_rolling_mean_13,0.8251368802134449
emailer_for_promotion_rolling_mean_5,0.8097864624668147
center_meal_orders_mean_div,0.8079084911929393
meal_orders_mean,0.7729687901485404
homepage_featured_rolling_sum_12,0.6488673548050711
category_Extras,0.6390712765274308
base_price_poly2_discount_pct,0.597798131266615
num_orders_rolling_std_5,0.5941747224312212
homepage_featured_rolling_mean_8,0.5889827287302573
emailer_for_promotion_rolling_mean_3,0.5760157058984664
emailer_for_promotion_rolling_sum_12,0.5513785907384193
num_orders_rolling_std_2,0.5407432238401343
homepage_featured_rolling_mean_20,0.5325257974906752
month_sin,0.5087557589619232
emailer_for_promotion_rolling_sum_4,0.5030909427380135
center_type_TYPE_B,0.49912694493810567
cuisine_Thai,0.4888059635529972
center_orders_median,0.46337633844588977
rolling_mean_2_x_weekofyear,0.4209811741271906
homepage_featured_rolling_sum_4,0.4007181788724665
weekofyear_centered_sq,0.39175192148441856
category_Pizza,0.3841501282383731
num_orders_rolling_mean_2,0.3756670799701559
homepage_featured_rolling_mean_2,0.35350988727207366
month_cos,0.3448206059156092
category_Other Snacks,0.3413658184222961
center_type_TYPE_C,0.3330601137721198
month_centered_sq,0.33121919223412566
emailer_for_promotion_rolling_mean_2,0.2937131477212007
category_Rice Bowl,0.2693090561839796
cuisine_Indian,0.2621831376252373
homepage_featured_rolling_mean_14,0.24117757726245065
category_Starters,0.20410896238781268
homepage_featured_rolling_sum_3,0.1937427255671994
emailer_for_promotion_rolling_sum_8,0.14201189639127676
category_Sandwich,0.13372805352189948
category_Salad,0.13144313562261012
category_Seafood,0.12416927602117273
category_Desert,0.12135512863474204
homepage_featured_rolling_sum_8,0.10881447914446676
emailer_for_promotion_rolling_sum_3,0.10529354085651368
center_type_TYPE_A,0.07281187535153308
category_Soup,0.03321750664235306
category_Fish,0.012293718413082957
category_Pasta,0.008532424266405728
category_Biryani,0.0
