feature,mean_abs_shap
lag1_x_rolling_mean_3,39.53916393350286
lag1_x_rolling_mean_2,25.974199118955
center_meal_orders_median_prod,23.512763851101557
center_meal_orders_mean_prod,17.18106135361371
num_orders_rolling_mean_21,16.791159701952616
num_orders_rolling_mean_5,16.023188967838454
num_orders_lag_1,14.630221047347526
num_orders_rolling_mean_14,14.242498533539491
num_orders_rolling_mean_10,11.287883001200495
checkout_price,10.947938199015475
num_orders_lag_5,10.775997786576314
price_diff_x_emailer,9.537210374274816
price_diff,7.933535515247266
homepage_featured,7.1124637697671185
homepage_featured_poly2_discount,7.088966916296362
rolling_mean_2_x_discount_pct,7.0016096423618475
mean_orders_by_weekofyear,6.947994614805222
num_orders_rolling_mean_2,6.191313187924444
rolling_mean_2_x_rolling_mean_3,5.889882724998044
rolling_mean_3_x_emailer,5.559342916126269
rolling_mean_5_x_emailer,5.264978394830433
price_diff_x_home,4.0340257320381
num_orders_rolling_mean_3,4.002673765665682
num_orders_lag_3,3.940031338823944
meal_orders_std,3.9175928435270255
emailer_for_promotion,3.8024985266831144
num_orders_lag_10,3.7913475144204636
meal_orders_median,3.69194582432825
rolling_mean_2_x_price_diff,3.6284706008144294
center_mean_x_discount,3.125119738698959
rolling_mean_2_x_home,3.1084675941937
category_Beverages,2.7632412164144253
lag1_x_emailer,2.6897776243760045
base_price_poly2_discount_pct,2.6772375795052414
lag1_x_home,2.6118762598918024
base_price,2.587963708669846
meal_mean_x_discount,2.3289515127144864
price_ratio,2.281490740756326
emailer_for_promotion_rolling_mean_21,2.2588384691855885
center_orders_mean_poly2_meal_orders_mean,1.9828448337757887
weekofyear,1.9470836985445643
num_orders_rolling_std_21,1.886619674289319
discount_pct,1.8390830298186736
rolling_mean_2_x_emailer,1.8106884103043301
num_orders_rolling_std_14,1.807009820462064
emailer_for_promotion_rolling_mean_7,1.748740214038251
discount,1.6984929475531867
lag1_x_lag2,1.6514548353339784
center_orders_mean,1.6135172381795442
mean_orders_by_month,1.4583807374168452
emailer_for_promotion_rolling_mean_14,1.2878319225108652
homepage_featured_rolling_mean_7,1.2430203687987882
num_orders_rolling_std_3,1.2283595017434803
emailer_for_promotion_rolling_mean_20,1.212425814419625
lag1_x_month_sin,1.1605833726046755
seasonal_week_x_price,1.146389758038487
emailer_for_promotion_rolling_mean_5,1.1211370424827245
meal_orders_mean,1.1167027852999716
weekofyear_cos,1.0786360308862546
weekofyear_sin,1.0416369684862685
center_orders_std,1.0196801278177294
cuisine_Thai,1.0061754919001311
cuisine_Italian,0.9762123024171773
emailer_for_promotion_rolling_sum_4,0.9722029090545311
homepage_featured_rolling_mean_21,0.9423761981039477
emailer_for_promotion_rolling_sum_8,0.9344719972654032
homepage_featured_rolling_mean_5,0.9071296501358022
homepage_featured_rolling_mean_2,0.9043712487093492
num_orders_rolling_std_10,0.8594908667723745
lag1_x_weekofyear_sin,0.8544885343476168
weekofyear_centered_sq,0.8510191892163026
homepage_featured_rolling_sum_3,0.839154773395857
center_type_TYPE_B,0.8166210042384198
center_meal_orders_mean_div,0.7942704727691831
emailer_for_promotion_rolling_mean_8,0.7404935893844486
cuisine_Continental,0.7233692297289772
center_type_TYPE_C,0.7212431252617874
homepage_featured_rolling_sum_12,0.715246334108152
num_orders_lag_2,0.6946426637830967
homepage_featured_rolling_sum_4,0.6248548766483492
emailer_for_promotion_rolling_sum_12,0.594919910903413
category_Extras,0.5942846145766789
homepage_featured_rolling_mean_13,0.5809597017830554
emailer_for_promotion_rolling_sum_3,0.5550275747563458
homepage_featured_rolling_mean_3,0.5354853728979908
emailer_for_promotion_rolling_mean_13,0.531223890689833
category_Pizza,0.49939619376734873
center_orders_median,0.49890863729704543
num_orders_rolling_std_5,0.47629538377641406
emailer_for_promotion_rolling_mean_3,0.4445172140227548
emailer_for_promotion_rolling_mean_2,0.4397124211606935
month_sin,0.417531493733846
cuisine_Indian,0.40844019562363354
num_orders_rolling_std_2,0.38621973973945184
category_Other Snacks,0.3840477654772034
homepage_featured_rolling_sum_8,0.3644661261455151
category_Rice Bowl,0.3344419642756599
month_cos,0.3135811007094409
month_centered_sq,0.307375571629924
rolling_mean_2_x_weekofyear,0.2418871765220742
category_Salad,0.23893331763178588
homepage_featured_rolling_mean_20,0.16240449441832516
category_Sandwich,0.15817283088431372
category_Starters,0.15332341675039818
homepage_featured_rolling_mean_14,0.12919293768121826
category_Seafood,0.10652431248625821
homepage_featured_rolling_mean_8,0.08838622371443865
center_type_TYPE_A,0.048427557991054984
category_Soup,0.04474007249078811
category_Biryani,0.03710858720445594
category_Desert,0.03160013846864622
category_Fish,0.01845743575730792
category_Pasta,0.007708997879799931
