Bin,Count,Avg_Feature_Value,Avg_Target,LGB_RMSLE,CAT_RMSLE,AVG_RMSLE,META_RMSLE,Improvement_Pct
77.63-146.60,1610,115.80958385093167,217.26894409937887,0.4269869988088989,0.4274488366224013,0.42638155085873025,0.40673864164304446,4.7421484078761695
146.60-215.57,4506,174.29959831335995,341.80670217487796,0.3952856762125522,0.3986420670327393,0.396298137406001,0.3898939308304366,1.364012335022311
215.57-284.54,2807,255.28949768436053,343.7773423583897,0.40888064533879975,0.4089599944537082,0.40788962141259755,0.4009888208656696,1.9301046804479944
284.54-353.51,6941,314.5690188733612,238.20544590116697,0.4412171995327258,0.4445879966716047,0.4419089674931422,0.434726090549506,1.471182218212314
353.51-422.48,3208,383.1025935162094,142.7581047381546,0.5606388909035033,0.5624331593819752,0.5610122743354036,0.5460889873786592,2.595236213705411
422.48-491.45,3330,468.11424624624624,158.5117117117117,0.46728063517941715,0.4709171512435116,0.46834698687834936,0.4643686493489745,0.6231770827234427
491.45-560.42,1776,531.5913006756756,189.4144144144144,0.4520996814032818,0.45535401328709413,0.4527165269206416,0.4451389398351908,1.53964752783841
560.42-629.39,946,583.1267653276955,96.95243128964059,0.5201006975864353,0.5144455901364281,0.5159540729460076,0.5131254060428576,0.25662268641867086
629.39-698.36,210,634.8682857142855,75.41904761904762,0.5282594458556903,0.5121908525271641,0.5166026034026053,0.5085406339542098,0.7126676618576947
698.36-767.33,931,728.055187969925,35.22986036519871,0.5277264750050804,0.5314102353031054,0.5275267816081491,0.5114929381251363,3.0761270561208494
