Feature,Avg_Improvement,Best_Bin,Best_Improvement,Worst_Bin,Worst_Improvement
homepage_featured,1.8497983504422892,1,2.2283137623238236,0,1.8186842900095055
month_centered_sq,1.8441682069368814,0.47928994082840237,2.1931302263906036,0.7159763313609467,1.633439982072577
month_cos,1.8388193055176938,0.8660254037844384,2.1931302263906036,1.0,1.5558459548295456
mean_orders_by_month,1.8388193055176938,239.9223838865013,2.1931302263906036,270.4825967424007,1.5558459548295456
month_sin,1.8388193055176936,-0.5000000000000004,2.1931302263906036,-2.4492935982947064e-16,1.5558459548295456
weekofyear,1.8349166089800355,34,2.418371497314747,40,1.2049722153176032
weekofyear_cos,1.8349166089800355,-0.5680647467311559,2.418371497314747,0.1205366802553232,1.2049722153176032
mean_orders_by_weekofyear,1.8349166089800355,228.88317267393126,2.418371497314747,262.080920641533,1.2049722153176032
weekofyear_centered_sq,1.8349166089800355,0.09467455621301775,2.418371497314747,0.28994082840236685,1.2049722153176032
weekofyear_sin,1.8345942045467238,-0.8229838658936564,2.418371497314747,-1.0,1.4186184838439546
emailer_for_promotion,1.8118506056822552,1,2.7085125534826306,0,1.766253368919261
discount,1.80305754678362,173.82-210.29,8.440196924899904,210.29-246.77,1.0378418064400823
discount_pct,1.768474298743058,0.47-0.62,7.426661932418176,-0.13-0.02,1.6523864410256994
price_ratio,1.7674215736275973,0.38-0.53,7.426661932418176,0.23-0.38,-0.535151435163466
checkout_price,1.743833586940342,77.63-146.60,4.7421484078761695,560.42-629.39,0.25662268641867086
base_price,1.726759289317743,95.06-172.18,3.2395310549796696,172.18-249.30,0.5170286279747128
