feature,importance
center_meal_orders_std_prod,186
num_orders_lag_1,185
emailer_for_promotion_ewm_alpha_0.3,161
price_diff_x_emailer,158
discount_pct,149
price_diff_x_home,145
price_diff,132
mean_orders_by_weekofyear,130
rolling_mean_5_x_emailer,127
center_meal_orders_median_prod,106
weekofyear,104
num_orders_lag_10,93
lag1_x_rolling_mean_3,91
discount,90
emailer_for_promotion_ewm_alpha_0.7,89
num_orders_rolling_std_14,81
num_orders_lag_5,69
num_orders_rolling_mean_21,69
num_orders_rolling_mean_14,64
center_orders_std,62
weekofyear_cos,60
num_orders_lag_3,57
meal_orders_std,53
homepage_featured_ewm_alpha_0.3,49
weekofyear_sin,47
mean_orders_by_month,45
num_orders_rolling_mean_5,44
meal_orders_mean,39
homepage_featured_ewm_alpha_0.7,33
center_orders_mean,31
num_orders_rolling_mean_3,29
meal_orders_median,24
category_Beverages,20
category_Sandwich,18
city_code,15
center_type_TYPE_C,15
cuisine_Italian,14
region_code,14
center_orders_median,13
op_area,12
category_Rice Bowl,12
month_sin,11
center_type_TYPE_B,10
category_Other Snacks,8
category_Salad,8
month_cos,7
center_type_TYPE_A,5
cuisine_Indian,5
cuisine_Thai,4
category_Extras,3
cuisine_Continental,2
category_Seafood,1
category_Pizza,1
month,0
category_Starters,0
category_Soup,0
category_Desert,0
category_Biryani,0
category_Fish,0
category_Pasta,0
