feature,rmsle,delta_vs_baseline
BASELINE,0.4776645529744284,0.0
emailer_for_promotion_sq,0.4779015034138559,0.00023695043942750793
homepage_featured_sq,0.4779015034138559,0.00023695043942750793
price_diff_x_emailer,0.47795728641044305,0.0002927334360146583
num_orders_rolling_mean_3,0.4780476053017632,0.00038305232733482075
center_orders_mean_cube,0.47820927498096244,0.0005447220065340486
num_orders_rolling_std_10,0.47856332188407746,0.0008987689096490725
num_orders_rolling_mean_2_x_discount_pct_x_homepage_featured,0.47880216519834695,0.0011376122239185604
num_orders_rolling_mean_12,0.4788084493783498,0.0011438964039214294
num_orders_rolling_mean_6,0.4790087906543569,0.0013442376799285283
num_orders_rolling_std_7,0.4790242332758179,0.0013596803013894987
base_price,0.47905004787994826,0.0013854949055198684
meal_orders_mean,0.4790754291484185,0.0014108761739901055
num_orders_rolling_mean_5,0.47914555962414207,0.0014810066497136787
num_orders_rolling_std_12,0.47915728664020385,0.0014927336657754586
num_orders_rolling_mean_14,0.47929221156813184,0.0016276585937034516
num_orders_rolling_mean_2_x_homepage_featured,0.47932651975905854,0.0016619667846301533
num_orders_rolling_mean_7,0.4793835158274888,0.0017189628530603906
meal_orders_mean_cube,0.47944200521296826,0.0017774522385398672
checkout_price_sq,0.47946960934486815,0.0018050563704397615
discount,0.4794779258133928,0.0018133728389644332
num_orders_rolling_mean_8,0.4795799484033944,0.0019153954289660158
num_orders_rolling_mean_2_x_emailer_for_promotion,0.47958925749838716,0.0019247045239587646
num_orders_rolling_mean_21,0.47964431782471334,0.0019797648502849485
price_diff_x_homepage_featured,0.4796450240692148,0.0019804710947863846
price_diff_x_emailer_for_promotion,0.47973161946260456,0.0020670664881761724
num_orders_rolling_std_5,0.480729654394722,0.0030651014202935922
center_orders_mean,0.4808780806151743,0.0032135276407458946
