feature,importance
lag1_x_rolling_mean_3,97.66378893794575
rolling_median_14,32.962250708458264
center_meal_orders_mean_prod,22.680263559303764
lag_1,21.009300208201235
center_meal_orders_median_prod,15.79273159057811
homepage_featured,14.545516321127046
lag1_x_rolling_mean_2,11.540491064815638
price_diff,11.130199006423002
checkout_price,8.890527540163223
rolling_mean_5,8.405891096987238
rolling_mean_2_x_emailer,8.172615439585007
rolling_median_5,6.525470790887542
emailer_for_promotion,5.750296454255352
discount,5.5371647674125315
discount_pct,4.694428232108099
homepage_featured_rolling_sum_3,4.570513953543334
category_encoded,4.509665336533195
lag1_x_emailer,4.042596772801193
meal_orders_median,3.968778838781912
center_orders_mean,3.7691906756016746
seasonal_mean,3.7548812812488825
weekofyear_sin,3.3583781081710966
base_price,3.326436687990052
price_ratio,3.1301760391515394
meal_orders_mean,2.5135569038563683
lag_2,2.487828769402975
rolling_mean_14,2.425264796737171
cuisine_encoded,2.0714347920299088
emailer_for_promotion_rolling_sum_3,1.8673677428680016
lag_5,1.7310907849546207
lag_3,1.6797260600346438
center_type_encoded,1.203423823725961
rolling_mean_3,1.1817075478772425
rolling_mean_2,1.1177397524211024
weekofyear,1.0905122940659036
weekofyear_cos,0.9127443952260847
rolling_std_3,0.6920205725338159
op_area,0.6891305808551056
rolling_std_2,0.6689233056783024
rolling_std_5,0.6577382529731988
center_orders_median,0.6429611016945961
region_code,0.5909431259504102
city_code,0.5125403708310683
