number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,97.22542302872857,2025-04-25 15:46:37.658386,2025-04-25 15:46:52.673894,0 days 00:00:15.015508,0.8323822137705836,4,0.640253918927247,9.160660507757859,0.00043006700444580057,0.011622413026749757,9,56,96,COMPLETE
1,97.66614066964726,2025-04-25 15:46:52.693369,2025-04-25 15:46:56.919474,0 days 00:00:04.226105,0.6911842576667762,3,0.7308276812003112,0.11110541995486606,0.005706686075075545,0.06081569162945517,6,56,20,COMPLETE
2,96.84989539175868,2025-04-25 15:46:56.935279,2025-04-25 15:47:15.175522,0 days 00:00:18.240243,0.9262126552101375,2,0.7316928374367032,0.013912914198648681,0.4895333645875836,0.010195928273350545,6,12,95,COMPLETE
3,99.02743502393103,2025-04-25 15:47:15.191733,2025-04-25 15:47:20.528543,0 days 00:00:05.336810,0.6185717179603468,5,0.8881682129862793,0.5420041247207162,2.238389373287134,0.04329575750121981,4,11,48,COMPLETE
4,97.77855529401667,2025-04-25 15:47:20.544766,2025-04-25 15:47:25.656307,0 days 00:00:05.111541,0.7623805373752005,3,0.8292635747539263,0.004247644902484908,0.6803499291216114,0.098896120209838,4,32,60,COMPLETE
5,97.78943554538638,2025-04-25 15:47:25.672395,2025-04-25 15:47:29.819679,0 days 00:00:04.147284,0.9049922879079768,2,0.6850333012520465,0.016932745159606608,0.0019074277641227522,0.07742203411945285,6,42,23,COMPLETE
6,97.70420364869727,2025-04-25 15:47:29.835931,2025-04-25 15:47:34.119082,0 days 00:00:04.283151,0.8993735565963419,4,0.8334360765504963,0.0007218088691500984,6.205423172472043,0.18681952402509444,6,30,23,COMPLETE
7,99.44911716458448,2025-04-25 15:47:34.135592,2025-04-25 15:47:36.177132,0 days 00:00:02.041540,0.9238347122790647,1,0.9591172139356801,7.755012781547216,0.009612759068326414,0.15711937115159966,9,6,21,COMPLETE
8,97.14599349409524,2025-04-25 15:47:36.193695,2025-04-25 15:47:49.271033,0 days 00:00:13.077338,0.76780968871982,4,0.695369359779225,0.8280963624053578,3.4053147113177524,0.016210101652645883,6,13,28,COMPLETE
9,98.15972018225281,2025-04-25 15:47:49.287873,2025-04-25 15:47:53.271054,0 days 00:00:03.983181,0.8652847178110501,6,0.7755577986669262,0.0006794238837870465,0.004763227208978329,0.08631812673689261,4,20,98,COMPLETE
10,96.71300796050438,2025-04-25 15:47:53.287119,2025-04-25 15:48:01.606168,0 days 00:00:08.319049,0.9936245842282452,1,0.6123898192254779,0.009204201432320605,0.11619341214390569,0.02678171313802878,12,22,77,COMPLETE
11,96.96877124729347,2025-04-25 15:48:01.622212,2025-04-25 15:48:09.181536,0 days 00:00:07.559324,0.9961890259945947,1,0.6003313958731055,0.009496066420628769,0.14788639395283124,0.027322394659444253,12,22,79,COMPLETE
12,97.00180404802975,2025-04-25 15:48:09.197518,2025-04-25 15:48:20.889352,0 days 00:00:11.691834,0.9979046936533271,2,0.7504021342898364,0.00013857863755129774,0.08086239115078868,0.023746436943090154,12,21,78,COMPLETE
13,96.9339108445835,2025-04-25 15:48:20.905672,2025-04-25 15:48:34.473323,0 days 00:00:13.567651,0.9457973377844019,1,0.6543282293833012,0.14001458518917345,0.34373633058608344,0.010598190506382343,10,41,78,COMPLETE
14,97.2985082015435,2025-04-25 15:48:34.489387,2025-04-25 15:48:41.406702,0 days 00:00:06.917315,0.9600768700363275,7,0.603487214810855,0.003008668154644513,0.030377919805353017,0.028539261626340053,8,15,66,COMPLETE
15,97.0212761429989,2025-04-25 15:48:41.422104,2025-04-25 15:48:57.423776,0 days 00:00:16.001672,0.839811826435885,2,0.7048840819261424,0.057287239653993974,0.8486275477040828,0.01765377466680373,11,6,87,COMPLETE
16,97.50081451811683,2025-04-25 15:48:57.440683,2025-04-25 15:49:02.971007,0 days 00:00:05.530324,0.9627032338913684,3,0.8984406045631144,0.0015466517490176272,0.06187182082974662,0.0412767735142499,8,27,45,COMPLETE
17,97.06826161622031,2025-04-25 15:49:02.988339,2025-04-25 15:49:16.616499,0 days 00:00:13.628160,0.8799152106136022,2,0.7989509751492619,0.024231468223872354,0.25698331126555984,0.015280532354230414,7,42,68,COMPLETE
18,101.25409802768519,2025-04-25 15:49:16.632842,2025-04-25 15:49:26.108556,0 days 00:00:09.475714,0.7947096714677442,1,0.6360232003031245,0.0001918020266582169,0.019985066479588653,0.020748100999221142,3,37,87,COMPLETE
19,97.38252195561739,2025-04-25 15:49:26.124783,2025-04-25 15:49:31.867058,0 days 00:00:05.742275,0.6906456377004198,3,0.6777294993631733,0.2745438857509725,0.00012489813193229486,0.03218054840286334,10,17,89,COMPLETE
20,96.9139864520695,2025-04-25 15:49:31.883511,2025-04-25 15:49:49.549817,0 days 00:00:17.666306,0.9490284854694545,2,0.74423313169284,0.0072355302623666965,1.3257314374499556,0.012488938881577791,7,25,37,COMPLETE
21,96.82226938940184,2025-04-25 15:49:49.566360,2025-04-25 15:50:06.453531,0 days 00:00:16.887171,0.9420019802324577,2,0.7454681472908374,0.005680998324597799,1.0335408538646562,0.012501112959124844,7,26,33,COMPLETE
22,100.97016009615824,2025-04-25 15:50:06.469942,2025-04-25 15:50:17.599348,0 days 00:00:11.129406,0.9985694938450637,1,0.7944500715637844,0.03261315828199295,8.782003868132167,0.010082375730795082,5,11,10,COMPLETE
23,97.0557372942206,2025-04-25 15:50:17.617006,2025-04-25 15:50:31.972868,0 days 00:00:14.355862,0.9361665368118111,2,0.8612539537277524,0.001604802149927216,0.26096855900062044,0.014705018903365584,7,27,51,COMPLETE
24,98.09059678728416,2025-04-25 15:50:31.989157,2025-04-25 15:50:39.076768,0 days 00:00:07.087611,0.9685922204307528,1,0.721957584361732,0.01133098870827847,0.6160594169180315,0.018494718622981552,5,36,38,COMPLETE
25,97.38036174536914,2025-04-25 15:50:39.093276,2025-04-25 15:50:51.397196,0 days 00:00:12.303920,0.9115744593865771,3,0.9951621447133374,0.05323611628426359,0.08943424934118394,0.012493327337737965,9,17,70,COMPLETE
26,96.88109019947362,2025-04-25 15:50:51.413314,2025-04-25 15:51:00.440378,0 days 00:00:09.027064,0.9751936305481446,5,0.7588453296567509,0.004072626793830215,2.094005125101875,0.02216304263746601,8,24,61,COMPLETE
27,96.9908235181923,2025-04-25 15:51:00.456917,2025-04-25 15:51:06.599169,0 days 00:00:06.142252,0.8655606769061585,2,0.8267881027898931,0.0003930567920658535,0.38005394635157014,0.035196598396430544,11,51,93,COMPLETE
28,97.41318315672778,2025-04-25 15:51:06.615254,2025-04-25 15:51:19.410063,0 days 00:00:12.794809,0.8880527901502685,1,0.6584067699981218,0.0018026222587953257,0.15247046667816175,0.01359408769803476,5,19,74,COMPLETE
29,97.30625560365173,2025-04-25 15:51:19.425822,2025-04-25 15:51:23.837882,0 days 00:00:04.412060,0.8307950006560489,4,0.626865028171166,1.7342720313884807,0.03829290522553613,0.055170596142334445,10,9,97,COMPLETE
30,96.97433006469201,2025-04-25 15:51:23.854656,2025-04-25 15:51:41.800770,0 days 00:00:17.946114,0.8350702994726324,3,0.7150899050625424,0.006914384637072908,3.5438035623109903,0.010120426704492348,7,49,58,COMPLETE
31,96.9183186369867,2025-04-25 15:51:41.817855,2025-04-25 15:51:49.594233,0 days 00:00:07.776378,0.9769261733835866,5,0.7663237250960452,0.0037389210322774104,1.9224932587792594,0.0219203976296998,8,24,63,COMPLETE
32,97.32191644057451,2025-04-25 15:51:49.609984,2025-04-25 15:51:57.197454,0 days 00:00:07.587470,0.9307090590678908,5,0.7721327838002018,0.01802065915828669,1.114235075948677,0.02377964534869691,9,31,53,COMPLETE
33,96.83560112350457,2025-04-25 15:51:57.213590,2025-04-25 15:52:09.665904,0 days 00:00:12.452314,0.9788703355120065,6,0.7251134491848875,0.09001412648272368,2.547482140416791,0.017333720998599044,8,28,43,COMPLETE
34,97.56447385308184,2025-04-25 15:52:09.681985,2025-04-25 15:52:23.784718,0 days 00:00:14.102733,0.9246753997787941,7,0.7352994785529379,0.11380436169878452,5.637438664398062,0.012736008763081083,5,28,38,COMPLETE
35,101.43746464976005,2025-04-25 15:52:23.800847,2025-04-25 15:52:31.936287,0 days 00:00:08.135440,0.6144947910358936,6,0.6748379349954919,0.06009432935743453,0.5715499818669463,0.016927574281205685,3,37,42,COMPLETE
36,97.22416099560438,2025-04-25 15:52:31.952781,2025-04-25 15:52:47.186810,0 days 00:00:15.234029,0.9794829599605199,6,0.7161576897774796,0.24162535219671846,0.17554106566882566,0.018609964629907445,6,33,31,COMPLETE
37,99.1165110095345,2025-04-25 15:52:47.203008,2025-04-25 15:52:56.981392,0 days 00:00:09.778384,0.6722057864660616,3,0.8192740782251982,0.02439953715963817,3.3366494303886434,0.011742686048766647,11,13,14,COMPLETE
38,96.93194445683417,2025-04-25 15:52:56.997625,2025-04-25 15:53:07.224443,0 days 00:00:10.226818,0.9156455774423758,4,0.8593003651125489,0.03957805970878656,1.1612288942287896,0.026390531773590246,6,59,30,COMPLETE
39,98.5635117479937,2025-04-25 15:53:07.240694,2025-04-25 15:53:21.910010,0 days 00:00:14.669316,0.9476219371430378,2,0.6971610106779743,0.015666999379414966,0.0011356670950402519,0.014524560919837217,4,34,83,COMPLETE
