number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_use_base_price,params_use_category_Beverages,params_use_category_Extras,params_use_category_Pasta,params_use_category_Pizza,params_use_category_Rice Bowl,params_use_category_Salad,params_use_category_Sandwich,params_use_center_id,params_use_center_id_orders_mean,params_use_center_id_orders_median,params_use_center_id_orders_std,params_use_center_type_TYPE_A,params_use_center_type_TYPE_B,params_use_center_type_TYPE_C,params_use_checkout_price,params_use_cuisine_Continental,params_use_cuisine_Indian,params_use_cuisine_Italian,params_use_cuisine_Thai,params_use_demand_pct_change_1,params_use_emailer_for_promotion,params_use_emailer_for_promotion_rolling_sum_3,params_use_homepage_featured,params_use_homepage_featured_rolling_sum_3,params_use_is_holiday_week,params_use_lag1_x_emailer,params_use_lag1_x_home,params_use_meal_id,params_use_meal_id_orders_mean,params_use_meal_id_orders_median,params_use_meal_id_orders_std,params_use_num_orders_lag_1,params_use_num_orders_lag_10,params_use_num_orders_lag_2,params_use_num_orders_lag_3,params_use_num_orders_lag_5,params_use_price_diff,params_use_price_diff_x_emailer,params_use_price_diff_x_home,params_use_rolling_mean_10,params_use_rolling_mean_3,params_use_rolling_mean_5,params_use_rolling_std_10,params_use_rolling_std_3,params_use_rolling_std_5,params_use_rolling_volatility_10,params_use_rolling_volatility_5,params_use_seasonal_regime,params_use_weekofyear,params_use_weekofyear_cos,params_use_weekofyear_sin,params_use_weeks_since_emailer_for_promotion,params_use_weeks_since_homepage_featured,params_use_weeks_to_next_holiday,state
0,0.5543323264547414,2025-04-26 01:11:35.492369,2025-04-26 01:11:38.605405,0 days 00:00:03.113036,0.7873647496798986,2,0.8402264136360478,0.0026244039783630737,0.015965280423403953,0.10503948529309039,5,42,76,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,COMPLETE
1,0.12303572257282054,2025-04-26 01:11:38.623679,2025-04-26 01:11:42.885364,0 days 00:00:04.261685,0.9333093164191453,2,0.8621990783932005,1.453690738751067,2.4876085998265527,0.06097567367497916,9,39,119,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
2,0.8433469113075872,2025-04-26 01:11:42.900701,2025-04-26 01:11:47.109630,0 days 00:00:04.208929,0.8082008835233403,2,0.7193106760969192,0.003069169540639607,0.0019852246398679215,0.013976244443316861,10,12,95,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,COMPLETE
3,0.6013192982174165,2025-04-26 01:11:47.124837,2025-04-26 01:11:49.887591,0 days 00:00:02.762754,0.9286922189734972,6,0.7195245059503617,0.008500680339330966,0.0017883146667811082,0.07883125692873112,4,11,60,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,False,COMPLETE
4,0.6532691754051083,2025-04-26 01:11:49.903326,2025-04-26 01:11:52.659781,0 days 00:00:02.756455,0.7055967512396351,2,0.8147980592010482,0.1263650703547106,2.035906684981491,0.0391874044561281,4,30,121,False,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,True,COMPLETE
5,0.4771264880150609,2025-04-26 01:11:52.675527,2025-04-26 01:11:55.897339,0 days 00:00:03.221812,0.8102131560233207,5,0.9276674952168449,2.430199887651844,0.012292997068913195,0.0956655011592621,7,17,32,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,False,False,COMPLETE
6,0.4512885486787117,2025-04-26 01:11:55.912795,2025-04-26 01:11:59.422078,0 days 00:00:03.509283,0.8673731617674114,2,0.7582814619774072,0.0015474681921475767,0.1368991976384614,0.18106624210758218,7,14,74,False,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,COMPLETE
7,0.788728048981662,2025-04-26 01:11:59.437636,2025-04-26 01:12:02.813656,0 days 00:00:03.376020,0.9843623771262142,4,0.8061741018501692,0.17699322057342598,0.5819801755078194,0.015569324332043152,5,13,103,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,COMPLETE
8,0.7047031742023924,2025-04-26 01:12:02.828756,2025-04-26 01:12:05.824342,0 days 00:00:02.995586,0.9446874944632466,6,0.9500794406852178,0.002399718987319566,0.028333675191087506,0.025898818959132056,4,46,84,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,COMPLETE
9,0.5535455179124278,2025-04-26 01:12:05.839990,2025-04-26 01:12:09.028159,0 days 00:00:03.188169,0.8764232890394141,6,0.9120011318338453,5.6376420796362945,0.0013599944933843555,0.14178848455083193,8,43,40,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,True,COMPLETE
10,0.11252912140191813,2025-04-26 01:12:09.043166,2025-04-26 01:12:13.529028,0 days 00:00:04.485862,0.989222583696719,4,0.9967248188222648,0.7431495213748739,8.551269355383214,0.05038879743009286,10,32,126,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
11,0.11016147239805647,2025-04-26 01:12:13.544834,2025-04-26 01:12:18.034447,0 days 00:00:04.489613,0.9999278512004471,4,0.9955274154629704,0.969297275279391,8.715251887359175,0.05246241463120733,10,32,124,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
12,0.1655771283981112,2025-04-26 01:12:18.050071,2025-04-26 01:12:22.576695,0 days 00:00:04.526624,0.9927434988920688,4,0.9916340118531494,0.5531882969890994,9.949898533252536,0.03735349123315406,10,28,128,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
13,0.3698108231852176,2025-04-26 01:12:22.592435,2025-04-26 01:12:26.899335,0 days 00:00:04.306900,0.99838280754812,4,0.9992492090635361,0.02680847142726335,9.131427134867065,0.024325487570883254,9,35,109,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
14,0.13297175901133465,2025-04-26 01:12:26.914710,2025-04-26 01:12:30.940776,0 days 00:00:04.026066,0.9038731859672737,3,0.9608422310719297,0.37556286244732995,0.6129418305629223,0.05603955277959093,9,22,94,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
15,0.372703326929889,2025-04-26 01:12:30.956299,2025-04-26 01:12:34.467223,0 days 00:00:03.510924,0.9608100567747281,7,0.8996693817838167,7.33740194501431,2.377200795566482,0.02710465123248081,10,50,55,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
16,0.1240529165938362,2025-04-26 01:12:34.483181,2025-04-26 01:12:38.471835,0 days 00:00:03.988654,0.9092225046248704,5,0.9719211112074556,0.03894163046913852,0.4174361651204601,0.05024767009403159,8,33,111,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
17,0.20598158086767512,2025-04-26 01:12:38.487767,2025-04-26 01:12:41.179804,0 days 00:00:02.692037,0.9654619910054877,3,0.8795305569089714,0.9071728424362964,4.176329149998856,0.07665889044847649,8,23,17,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
18,0.2624144722506525,2025-04-26 01:12:41.195411,2025-04-26 01:12:44.454769,0 days 00:00:03.259358,0.7276162478109844,1,0.9353226579024956,2.433450757223213,0.15315217131417166,0.03534088542225527,6,6,126,True,True,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,COMPLETE
19,0.4449455069647161,2025-04-26 01:12:44.470628,2025-04-26 01:12:48.398227,0 days 00:00:03.927599,0.8388819865861045,5,0.972733310821988,0.2887412818348275,1.1380520340968645,0.021494948953505868,10,36,97,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
20,0.62832421149155,2025-04-26 01:12:48.414203,2025-04-26 01:12:50.657597,0 days 00:00:02.243394,0.8976004417367693,3,0.8897970484259644,0.058261825673742565,4.953843127686149,0.12516644918447448,3,26,112,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
21,0.11610945749378594,2025-04-26 01:12:50.673675,2025-04-26 01:12:54.134123,0 days 00:00:03.460448,0.9598515057291063,1,0.8528749323400139,1.4381702921190531,2.7469678601916923,0.0591610568233302,9,40,120,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
22,0.14134643622461343,2025-04-26 01:12:54.149515,2025-04-26 01:12:57.492522,0 days 00:00:03.343007,0.9688483256190624,1,0.7657796076347414,1.0030251956151608,5.17511793737445,0.06739170255776573,9,31,117,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,COMPLETE
23,0.10597646844969304,2025-04-26 01:12:57.508256,2025-04-26 01:13:01.856972,0 days 00:00:04.348716,0.9443715814131438,4,0.9959061377814497,2.6620409421154485,1.3883579336901903,0.0473171139370547,10,38,128,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,COMPLETE
24,0.8323162719197588,2025-04-26 01:13:01.872693,2025-04-26 01:13:06.047159,0 days 00:00:04.174466,0.9940021605407448,5,0.999999823395235,3.277326646946812,1.250341581390956,0.010119905245285218,10,37,104,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
25,0.15822884798198797,2025-04-26 01:13:06.063315,2025-04-26 01:13:10.081985,0 days 00:00:04.018670,0.9379450562231041,3,0.9369065328427001,9.954471183484536,0.31262054585931526,0.04527531130891919,8,24,88,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
26,0.6002291821781497,2025-04-26 01:13:10.097216,2025-04-26 01:13:14.821224,0 days 00:00:04.724008,0.9777694703853028,4,0.9678293343832052,0.5963962402468255,1.1427356478137092,0.032130729144929496,10,33,128,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,True,True,COMPLETE
27,0.12484313223426864,2025-04-26 01:13:14.837363,2025-04-26 01:13:18.995601,0 days 00:00:04.158238,0.9223482769448027,4,0.9809820535736723,4.036336817660738,9.547189217079035,0.0479159764419145,9,20,104,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,COMPLETE
