number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,96.37091377649124,2025-04-25 16:16:49.797919,2025-04-25 16:16:56.918083,0 days 00:00:07.120164,0.7612745309758897,5,0.9282849164890297,0.09797029909574644,0.3103280923003295,0.01583662135575673,10,30,62,COMPLETE
1,95.8625826577324,2025-04-25 16:16:56.937419,2025-04-25 16:16:59.532759,0 days 00:00:02.595340,0.9095684108943273,3,0.7395124316172891,1.2724012177370487,0.0021405172734706036,0.18567067550169253,10,28,42,COMPLETE
2,96.73608282349736,2025-04-25 16:16:59.548753,2025-04-25 16:17:02.021021,0 days 00:00:02.472268,0.7097471254256363,6,0.9053193090252842,0.0005460402244967807,0.006560767402573998,0.0688753313948349,9,31,90,COMPLETE
3,96.2730698711503,2025-04-25 16:17:02.036590,2025-04-25 16:17:08.219578,0 days 00:00:06.182988,0.8233213192026702,7,0.9699798341205942,0.0005925218339822211,0.08142663174055126,0.024767266622524875,12,42,54,COMPLETE
4,96.9432111683269,2025-04-25 16:17:08.235155,2025-04-25 16:17:18.946727,0 days 00:00:10.711572,0.7954801990098924,6,0.8560108636133219,0.0006398155828741567,0.12733462135500787,0.018909178953840578,9,6,18,COMPLETE
5,99.42170868596901,2025-04-25 16:17:18.961626,2025-04-25 16:17:30.017146,0 days 00:00:11.055520,0.7897861673772122,5,0.6103590908852903,0.0004900979644104727,0.0007521075139322667,0.010335863111705866,3,36,29,COMPLETE
6,97.83966479250684,2025-04-25 16:17:30.032106,2025-04-25 16:17:33.377622,0 days 00:00:03.345516,0.644573406076839,3,0.7206399573504588,0.028397241616136524,0.051825803441438334,0.1629991261632723,9,54,10,COMPLETE
7,97.44558202736687,2025-04-25 16:17:33.393208,2025-04-25 16:17:37.531464,0 days 00:00:04.138256,0.7668055242688518,3,0.9851508538879122,0.004085355913905011,0.00392083473959867,0.09082429811800884,12,25,46,COMPLETE
8,97.12576611317404,2025-04-25 16:17:37.547555,2025-04-25 16:17:39.770628,0 days 00:00:02.223073,0.8327488233801926,7,0.9912555514357015,0.10025812004573069,0.00215794617409124,0.15988336612571222,12,24,71,COMPLETE
9,96.42222589957755,2025-04-25 16:17:39.785521,2025-04-25 16:17:42.368024,0 days 00:00:02.582503,0.6616780626623852,1,0.8905986723521896,0.001093066215983817,0.000199483610732409,0.040072664601361135,7,40,64,COMPLETE
10,96.64282451318935,2025-04-25 16:17:42.385047,2025-04-25 16:17:46.421319,0 days 00:00:04.036272,0.9604826056250817,1,0.7509614412000339,9.096172375921435,4.469275376799347,0.08500727856835315,6,11,41,COMPLETE
11,97.15257288471676,2025-04-25 16:17:46.436622,2025-04-25 16:17:50.390947,0 days 00:00:03.954325,0.8997866696500063,3,0.7931634905758757,4.080162062301257,0.7250674961638954,0.03438659943941772,11,49,41,COMPLETE
12,96.76876473072923,2025-04-25 16:17:50.406490,2025-04-25 16:17:57.303470,0 days 00:00:06.896980,0.8973647007351575,4,0.6844542677140222,1.0859556414469362,0.018334560362602517,0.021444610656834808,11,44,82,COMPLETE
13,96.35240560665201,2025-04-25 16:17:57.318197,2025-04-25 16:18:04.305487,0 days 00:00:06.987290,0.991031192684323,2,0.8196143143417911,0.009110430258906588,0.0001971211939594621,0.03129048882401513,12,59,52,COMPLETE
14,97.44858121555262,2025-04-25 16:18:04.321220,2025-04-25 16:18:06.975866,0 days 00:00:02.654646,0.8708297971834643,7,0.6546863817869787,0.4225413982117832,0.021694378889608484,0.058803226595135254,5,19,30,COMPLETE
15,97.0200869549576,2025-04-25 16:18:06.990819,2025-04-25 16:18:09.409845,0 days 00:00:02.419026,0.9329756870818247,4,0.7564027837174023,0.8089123334080592,1.3104205073376305,0.10568077295635525,10,45,73,COMPLETE
16,96.89892213125658,2025-04-25 16:18:09.425564,2025-04-25 16:18:16.457897,0 days 00:00:07.032333,0.8444696997942347,2,0.8204146108416676,0.00010070502360794074,0.0006765358179375037,0.02487664754226402,8,15,30,COMPLETE
17,96.8932603963893,2025-04-25 16:18:16.473520,2025-04-25 16:18:19.571633,0 days 00:00:03.098113,0.6016191824258504,4,0.9529289112913948,0.00011207332541847164,0.05268140320275803,0.05322571261789433,11,37,54,COMPLETE
18,96.29366839138194,2025-04-25 16:18:19.587581,2025-04-25 16:18:28.305957,0 days 00:00:08.718376,0.7248967871789977,5,0.69985863878259,0.008554444605485568,0.011001297231133664,0.013467758288300241,10,26,38,COMPLETE
19,96.45828261767888,2025-04-25 16:18:28.324807,2025-04-25 16:18:33.513289,0 days 00:00:05.188482,0.837771476410654,6,0.8760520249278788,0.1608269096940904,0.0012033713191786173,0.029959964036336117,7,50,98,COMPLETE
20,97.43536400200558,2025-04-25 16:18:33.531060,2025-04-25 16:18:35.954537,0 days 00:00:02.423477,0.9326282254003728,7,0.7740377520246956,2.231164670195798,0.19831055253952923,0.1893370920327865,8,19,59,COMPLETE
21,97.11107420262144,2025-04-25 16:18:35.970453,2025-04-25 16:18:42.589804,0 days 00:00:06.619351,0.7306015122237537,5,0.7082433971585521,0.004350900181344835,0.009181573519943045,0.012461798272113475,11,29,36,COMPLETE
22,96.49656250823513,2025-04-25 16:18:42.605319,2025-04-25 16:18:52.995226,0 days 00:00:10.389907,0.7011663640154662,5,0.6536471275474076,0.016878629728263893,0.013115796913193884,0.012895488741249305,10,23,48,COMPLETE
23,97.13341599506293,2025-04-25 16:18:53.010861,2025-04-25 16:19:06.206653,0 days 00:00:13.195792,0.7498523057793052,2,0.7242885656306498,0.001997641362136605,0.07146442213926031,0.015236167849435298,10,35,19,COMPLETE
24,97.18803542710823,2025-04-25 16:19:06.222559,2025-04-25 16:19:10.814289,0 days 00:00:04.591730,0.8782952780851084,6,0.6660785132723055,0.05769211797374321,0.0034151159948298333,0.02374030751932405,12,41,38,COMPLETE
25,97.72329972793588,2025-04-25 16:19:10.829964,2025-04-25 16:19:13.394429,0 days 00:00:02.564465,0.8119007052662168,4,0.627083837537403,0.2657506621954689,0.029148235956394982,0.1265988004811538,9,27,47,COMPLETE
26,96.01230540529639,2025-04-25 16:19:13.409649,2025-04-25 16:19:24.693714,0 days 00:00:11.284065,0.9224530462326541,3,0.8522228679791859,0.004875162120642585,0.5535517000805638,0.018130644225639838,11,20,69,COMPLETE
27,96.48939750794658,2025-04-25 16:19:24.709273,2025-04-25 16:19:30.418903,0 days 00:00:05.709630,0.9339502539294637,3,0.9352752938705216,0.002104831199257205,2.7014177953508463,0.04296295797891194,11,20,72,COMPLETE
28,95.66324876598745,2025-04-25 16:19:30.434704,2025-04-25 16:19:42.180955,0 days 00:00:11.746251,0.9999218196673398,3,0.823080559378795,0.041604027283381445,0.4627583151475426,0.018813633733686375,12,15,66,COMPLETE
29,96.06817673959368,2025-04-25 16:19:42.196897,2025-04-25 16:19:53.117133,0 days 00:00:10.920236,0.9918802875850671,2,0.8508600397666702,0.029019483658875744,0.4042805437044761,0.01811848300461546,10,13,66,COMPLETE
30,97.89698642588577,2025-04-25 16:19:53.133100,2025-04-25 16:20:07.845749,0 days 00:00:14.712649,0.9558849992523268,3,0.8224464241830033,0.05542348661788153,7.293661101300232,0.010195169543803182,4,7,82,COMPLETE
31,95.98580086172547,2025-04-25 16:20:07.862011,2025-04-25 16:20:19.564143,0 days 00:00:11.702132,0.9872914441002367,2,0.8502127887124662,0.021940353392651823,0.4690820036166215,0.016926436787336723,10,13,64,COMPLETE
32,95.83330197458972,2025-04-25 16:20:19.579118,2025-04-25 16:20:30.737547,0 days 00:00:11.158429,0.999461490930936,2,0.8495938385985391,0.01248480350883097,0.45855588108963147,0.01661534788748768,11,16,80,COMPLETE
33,96.14241788433131,2025-04-25 16:20:30.753272,2025-04-25 16:20:43.267007,0 days 00:00:12.513735,0.9762842155654249,1,0.793277718417401,0.020796264498840197,1.1566993016510039,0.01499103082420231,8,10,77,COMPLETE
34,96.40401061180201,2025-04-25 16:20:43.283023,2025-04-25 16:20:58.236568,0 days 00:00:14.953545,0.9987487441666671,2,0.9091034378998247,0.06454059067690372,0.12778944810547246,0.020196993075741108,9,16,90,COMPLETE
35,95.66716582376422,2025-04-25 16:20:58.252739,2025-04-25 16:21:08.291371,0 days 00:00:10.038632,0.9683667229576512,2,0.8738128656814578,0.1589318807011693,0.23526333597862004,0.02740883828877886,12,5,60,COMPLETE
36,96.13165944009404,2025-04-25 16:21:08.306434,2025-04-25 16:21:15.817318,0 days 00:00:07.510884,0.9620867036594681,1,0.8806555464384462,0.35722948599025045,0.23986118432098702,0.02736161157203744,12,6,81,COMPLETE
37,96.01080025105085,2025-04-25 16:21:15.833221,2025-04-25 16:21:23.272011,0 days 00:00:07.438790,0.954553550456441,3,0.9086983261534597,0.14779971919847865,1.4582869468217825,0.03534162477046053,12,8,60,COMPLETE
38,96.51326351918706,2025-04-25 16:21:23.289793,2025-04-25 16:21:28.513099,0 days 00:00:05.223306,0.9074264024376976,2,0.8287338632500871,0.7944602922806284,0.11713109468296815,0.05374169701301759,11,15,87,COMPLETE
39,95.81663612977488,2025-04-25 16:21:28.529003,2025-04-25 16:21:39.033827,0 days 00:00:10.504824,0.9736521146865971,3,0.7423255673759986,2.972993004229711,2.575899779039111,0.022375009079180396,9,32,58,COMPLETE
40,96.45618041144884,2025-04-25 16:26:42.785606,2025-04-25 16:26:49.831306,0 days 00:00:07.045700,0.9691788082487207,3,0.7605672494149484,9.135483320638016,2.51149677432725,0.022411354218188604,9,32,59,COMPLETE
41,,2025-04-25 16:26:49.850153,2025-04-25 16:26:50.263339,0 days 00:00:00.413186,0.9459561812407226,3,0.7417453186248556,1.8084898093662827,0.9188734495969736,0.026253592310555934,12,5,54,FAIL
42,96.39839553853592,2025-04-25 16:27:32.083012,2025-04-25 16:27:36.763814,0 days 00:00:04.680802,0.9493056160310688,3,0.7288582698091047,2.1704270859335266,0.8534592108639574,0.02616987335345745,12,29,52,COMPLETE
43,96.10564359366752,2025-04-25 16:27:36.783270,2025-04-25 16:27:47.094382,0 days 00:00:10.311112,0.9759694425578535,2,0.7831355961240898,3.9878739777959966,9.730708662504949,0.01996538904427369,9,34,67,COMPLETE
44,95.51114486705758,2025-04-25 16:27:47.109287,2025-04-25 16:28:07.788964,0 days 00:00:20.679677,0.9992931431908324,3,0.7409237523609388,1.81563362668098,0.2738074285437757,0.011820587719287018,11,5,76,COMPLETE
45,96.0598670144135,2025-04-25 16:28:07.805004,2025-04-25 16:28:25.912629,0 days 00:00:18.107625,0.9990261917069663,4,0.8660273903669136,4.413069219189675,0.2183886761266593,0.011550347309604107,12,10,75,COMPLETE
46,96.05358592466511,2025-04-25 16:28:25.929168,2025-04-25 16:28:36.998997,0 days 00:00:11.069829,0.9483573889582784,1,0.8076422565261921,0.5021275970474046,2.213234914088966,0.01615724678942888,11,5,95,COMPLETE
47,95.74939181854836,2025-04-25 16:28:37.018850,2025-04-25 16:28:51.550938,0 days 00:00:14.532088,0.9750124399597276,3,0.7422347346593874,1.5633761825553352,0.3213768059698359,0.013843188472981584,12,9,79,COMPLETE
48,96.02297548370954,2025-04-25 16:28:51.566831,2025-04-25 16:29:04.089939,0 days 00:00:12.523108,0.8832593054670552,3,0.7375585377441491,1.7505830161549163,3.7176382145310196,0.014295709249297774,12,9,87,COMPLETE
49,95.755150694119,2025-04-25 16:29:04.105823,2025-04-25 16:29:23.030537,0 days 00:00:18.924714,0.9735956906065568,4,0.7627426417296476,5.079923640146155,0.12385205205357097,0.01094831923199852,12,5,56,COMPLETE
50,96.28700934824813,2025-04-25 16:29:23.045438,2025-04-25 16:29:41.940120,0 days 00:00:18.894682,0.85832516890605,4,0.7763325126608723,1.41122622097665,0.13277516007320397,0.011553595712577736,12,5,63,COMPLETE
51,,2025-04-25 16:29:41.955158,2025-04-25 16:29:45.561238,0 days 00:00:03.606080,0.9199048974753493,4,0.6944588038754197,6.3486249345425385,0.03918944506775347,0.01000570587773265,12,12,77,FAIL
52,96.12962240045866,2025-04-25 16:29:55.232980,2025-04-25 16:30:09.332207,0 days 00:00:14.099227,0.9186818835278102,4,0.7061412103643674,4.788148488871654,0.3289713409902994,0.011185505484020523,12,12,77,COMPLETE
53,95.84569170867665,2025-04-25 16:30:09.351029,2025-04-25 16:30:26.197706,0 days 00:00:16.846677,0.979560524963801,3,0.7479232308049323,6.166377155409318,0.03969683178507435,0.01395110036883411,11,8,55,COMPLETE
