number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.47820936519080703,2025-04-25 14:41:26.500517,2025-04-25 14:41:53.503422,0 days 00:00:27.002905,0.9511555829213657,3,0.9872739033946838,0.00011711504233283734,2.2589527163654957,0.024953450114236483,11,13,12,COMPLETE
1,0.4737835868918738,2025-04-25 14:41:53.523227,2025-04-25 14:42:21.213416,0 days 00:00:27.690189,0.838545242996974,4,0.8316007867756532,0.06898486329344075,5.417043767125637,0.02831876988943931,11,8,34,COMPLETE
2,0.47394117744770103,2025-04-25 14:42:21.228568,2025-04-25 14:42:50.761035,0 days 00:00:29.532467,0.9315858177905881,5,0.9750771050992417,0.00418122243023519,1.4164169665034956,0.03236603139810288,6,45,38,COMPLETE
3,0.47285201063214083,2025-04-25 14:42:50.776570,2025-04-25 14:43:24.405047,0 days 00:00:33.628477,0.6312911622166267,2,0.9180330194957618,0.00017660177702207545,2.841700431013284,0.01419872582705137,11,45,98,COMPLETE
4,0.4730650927803072,2025-04-25 14:43:24.421630,2025-04-25 14:43:48.741555,0 days 00:00:24.319925,0.943851237288234,3,0.6313237032628591,1.0547942455316786,0.16818041161887826,0.04977640394649745,11,45,63,COMPLETE
5,0.4730779895256703,2025-04-25 14:43:48.758633,2025-04-25 14:44:19.605417,0 days 00:00:30.846784,0.8168825469814405,7,0.6037471414336045,0.24992268994923977,0.31050095749274587,0.013551018528951294,11,56,62,COMPLETE
6,0.4790883858270218,2025-04-25 14:44:19.621847,2025-04-25 14:44:43.136308,0 days 00:00:23.514461,0.8278505015966047,7,0.966059705119535,0.032575120120231206,0.5456503736728011,0.01867489887669232,4,26,22,COMPLETE
7,0.4747025101413888,2025-04-25 14:44:43.153220,2025-04-25 14:45:02.669452,0 days 00:00:19.516232,0.6094045252717196,1,0.7924456594372052,3.5789996459932,2.8235903972190153,0.04925094230280915,12,35,11,COMPLETE
8,0.4752482027362184,2025-04-25 14:45:02.686393,2025-04-25 14:45:38.588907,0 days 00:00:35.902514,0.9902085009510926,6,0.8240560892897976,0.0005240994098831676,0.0006537656642707512,0.011307344019229934,10,7,62,COMPLETE
9,0.4724422733480683,2025-04-25 14:45:38.605805,2025-04-25 14:45:53.456042,0 days 00:00:14.850237,0.6275352159159574,7,0.6365705166019816,0.005718691219092052,0.0017197271970274411,0.04029142288169948,11,21,93,COMPLETE
10,0.4747915663961697,2025-04-25 14:45:53.472819,2025-04-25 14:46:00.993179,0 days 00:00:07.520360,0.7036106274790955,5,0.7033067785984186,0.0033134974257854,0.0016726212157553932,0.1258079401156151,8,20,94,COMPLETE
11,0.47527995357849473,2025-04-25 14:46:01.009825,2025-04-25 14:46:08.974912,0 days 00:00:07.965087,0.6083947469751028,1,0.888326181647401,0.0026004509745376895,0.014663939414026344,0.08892288751641578,8,36,99,COMPLETE
12,0.4731473964228524,2025-04-25 14:46:08.991152,2025-04-25 14:46:25.520218,0 days 00:00:16.529066,0.6980567163436833,2,0.718765693861457,0.00010241097802555737,0.0001059257910689618,0.07053236912582457,9,60,82,COMPLETE
13,0.4774131552506771,2025-04-25 14:46:25.536622,2025-04-25 14:46:30.629915,0 days 00:00:05.093293,0.6876556721820902,3,0.9005994074144567,0.0007318340660408697,0.019122544053117325,0.19579926422832303,6,25,83,COMPLETE
14,0.4735709533474378,2025-04-25 14:46:30.646065,2025-04-25 14:47:02.907667,0 days 00:00:32.261602,0.7534901845581806,5,0.7365932287549796,0.009433382390670063,0.003843442086540016,0.010063899266162853,9,44,79,COMPLETE
15,0.47137835849970905,2025-04-25 14:47:02.924493,2025-04-25 14:47:35.289103,0 days 00:00:32.364610,0.6577709473978156,2,0.6565032938447249,0.0005436468742326,0.07199979554719863,0.017886800207694308,12,19,89,COMPLETE
16,0.47250024717317235,2025-04-25 14:47:35.305502,2025-04-25 14:48:04.503177,0 days 00:00:29.197675,0.6578376671755698,6,0.6470920636744487,0.0009195969332702481,0.06888582633177337,0.02099004578008464,12,17,75,COMPLETE
17,0.4727897215246547,2025-04-25 14:48:04.519604,2025-04-25 14:48:30.985709,0 days 00:00:26.466105,0.7603918283168717,4,0.670451066499278,0.013247282673876409,0.005592859384270467,0.03712060737459511,6,26,49,COMPLETE
18,0.47164682596871704,2025-04-25 14:48:31.002026,2025-04-25 14:49:05.216345,0 days 00:00:34.214319,0.7304258856563657,2,0.6807399954327162,0.09914808395309502,0.00012825204956034512,0.019038870592901887,9,14,88,COMPLETE
19,0.47302949918649995,2025-04-25 14:49:05.232902,2025-04-25 14:49:39.438839,0 days 00:00:34.205937,0.7519610683665755,2,0.7657932879787959,0.16886268644477515,0.0003455962805572618,0.01700412768246392,9,12,72,COMPLETE
20,0.47638482994248355,2025-04-25 14:49:39.455685,2025-04-25 14:50:02.546964,0 days 00:00:23.091279,0.8753791591448945,1,0.675282409379738,0.39128731302616643,0.07190982670433972,0.02481259992356725,4,5,88,COMPLETE
21,0.47320007227032335,2025-04-25 14:50:02.563469,2025-04-25 14:50:15.887369,0 days 00:00:13.323900,0.6632386137544604,2,0.604929688011937,0.02537611033039037,0.00010821106404770351,0.04005397782714404,10,22,89,COMPLETE
22,0.4729419947220579,2025-04-25 14:50:15.903594,2025-04-25 14:50:29.482371,0 days 00:00:13.578777,0.719205004387917,3,0.6839370979304771,0.07186956536702048,0.0005263226878583402,0.07173455036558526,12,16,70,COMPLETE
23,0.4722838512131404,2025-04-25 14:50:29.498694,2025-04-25 14:50:59.009183,0 days 00:00:29.510489,0.6509366104541687,6,0.6454176934495518,0.001774405494417262,0.0021022951048581305,0.015997197997630424,10,30,90,COMPLETE
