number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.48382134332224225,2025-04-25 15:12:05.625925,2025-04-25 15:12:12.740586,0 days 00:00:07.114661,0.9830129586722248,2,0.7450763399859369,0.11658837531590122,2.3730889124353016,0.12886805481154034,6,28,33,COMPLETE
1,0.4831142456073453,2025-04-25 15:12:12.760058,2025-04-25 15:12:20.667241,0 days 00:00:07.907183,0.9135112106067964,5,0.9277197411577912,0.022644553505272242,0.031841135129888766,0.18536494493319747,5,30,70,COMPLETE
2,0.48150608383909954,2025-04-25 15:12:20.683103,2025-04-25 15:12:37.278071,0 days 00:00:16.594968,0.9065449570168587,4,0.7234880263318362,0.0006179577476340814,0.005613760956602182,0.10007594338263436,11,15,27,COMPLETE
3,0.48443025834427894,2025-04-25 15:12:37.294167,2025-04-25 15:12:46.349928,0 days 00:00:09.055761,0.9319577478058958,3,0.9700721759003921,0.03862724383590286,0.022364886770163423,0.19254066773493608,11,49,62,COMPLETE
4,0.4809142847992291,2025-04-25 15:12:46.365858,2025-04-25 15:13:07.875351,0 days 00:00:21.509493,0.7239294929040909,7,0.6633831023784449,0.012889689307851702,0.0018036646696907807,0.024732248942234702,6,12,46,COMPLETE
5,0.47999955515906556,2025-04-25 15:13:07.891621,2025-04-25 15:13:34.951978,0 days 00:00:27.060357,0.9584648490042563,6,0.8458973577794816,0.0374652313197965,0.005831106782656503,0.022039456525204833,8,11,97,COMPLETE
6,0.4902434399587377,2025-04-25 15:13:34.968480,2025-04-25 15:13:59.143450,0 days 00:00:24.174970,0.9977943347111236,6,0.6310560839290532,3.1227829520164274,0.00011254281949132404,0.025244410307550605,3,37,25,COMPLETE
7,0.4841355689293685,2025-04-25 15:13:59.159783,2025-04-25 15:14:06.982430,0 days 00:00:07.822647,0.9499881907057552,6,0.988379917092894,0.0005863749656425912,0.07665807689143024,0.16811195628044362,4,45,65,COMPLETE
8,0.48297654671124435,2025-04-25 15:14:06.998648,2025-04-25 15:14:17.531977,0 days 00:00:10.533329,0.7542402297464184,3,0.8266056591005155,0.01791096523921765,0.00010340943281232687,0.1623455065444732,4,17,58,COMPLETE
9,0.4901314250890802,2025-04-25 15:14:17.547831,2025-04-25 15:14:41.499053,0 days 00:00:23.951222,0.9602552675704134,5,0.8688584475003716,0.7628966100593604,0.0003011545026551157,0.014215741160325448,4,15,44,COMPLETE
10,0.47956804688042637,2025-04-25 15:14:41.514841,2025-04-25 15:14:53.502414,0 days 00:00:11.987573,0.8576567866947313,1,0.8768046670649603,0.002451248155806293,0.46894437090224866,0.06700727354531952,9,5,98,COMPLETE
11,0.48128786948016933,2025-04-25 15:14:53.518305,2025-04-25 15:15:00.866668,0 days 00:00:07.348363,0.8403806061505548,1,0.8790014001689114,0.003520823085920952,0.7417755646188521,0.05772269729046002,9,6,96,COMPLETE
12,0.4791093555159808,2025-04-25 15:15:00.882561,2025-04-25 15:15:20.859793,0 days 00:00:19.977232,0.8387626518484116,1,0.7904295081599386,0.00012806063298234657,0.27971523825767675,0.04946568336607795,9,5,98,COMPLETE
13,0.4789720846646048,2025-04-25 15:15:20.876025,2025-04-25 15:15:36.368635,0 days 00:00:15.492610,0.6411992397341668,1,0.7637182584244856,0.00011468368199729008,0.2566645449078412,0.057433699447389,9,60,81,COMPLETE
14,0.47956307807926624,2025-04-25 15:15:36.385214,2025-04-25 15:15:50.648855,0 days 00:00:14.263641,0.6064279100544681,2,0.7680324326930403,0.00010439068463187411,6.498510156081943,0.04179764763090556,12,59,81,COMPLETE
15,0.47840710118355706,2025-04-25 15:15:50.664768,2025-04-25 15:16:08.120509,0 days 00:00:17.455741,0.6166135421513073,1,0.7064275615128605,0.0001248206065326879,0.26234637239041136,0.04083144734923529,9,60,82,COMPLETE
16,0.484360898132658,2025-04-25 15:16:08.136865,2025-04-25 15:16:25.682162,0 days 00:00:17.545297,0.6016770467401905,2,0.7025093621396197,0.0005331292289976092,0.14695353683915807,0.039627068828551666,7,60,10,COMPLETE
