strategy,fold,train_rmsle,valid_rmsle
ExpandingGroupTimeSeriesSplit,1,0.7231259746641333,0.8687763110670202
ExpandingGroupTimeSeriesSplit,2,0.7536394343422913,0.8287182512656751
ExpandingGroupTimeSeriesSplit,3,0.7852503147834204,0.8104605413568211
ExpandingGroupTimeSeriesSplit,4,0.7761193441251437,0.8102621489230463
ExpandingGroupTimeSeriesSplit,5,0.7972173773067838,0.8507054109822664
RollingGroupTimeSeriesSplit,1,0.7231259746641333,0.8687763110670202
RollingGroupTimeSeriesSplit,2,0.7355105654844425,0.8307063511609839
RollingGroupTimeSeriesSplit,3,0.7764482986710155,0.8468387039213243
RollingGroupTimeSeriesSplit,4,0.7479731634188533,0.873617122549719
RollingGroupTimeSeriesSplit,5,0.7285172679870153,0.8803901570887951
ShrinkingGroupTimeSeriesSplit,1,0.7963471539323624,0.8408113866435413
ShrinkingGroupTimeSeriesSplit,2,0.7900516461614115,0.7948171422613686
ShrinkingGroupTimeSeriesSplit,3,0.7703648132223281,0.8208625244946537
ShrinkingGroupTimeSeriesSplit,4,0.7580821836320696,0.8428502683222631
ShrinkingGroupTimeSeriesSplit,5,0.762708499337368,0.8274785500133115
ShrinkingGroupTimeSeriesSplit,6,0.7489690958873683,0.8036498983127912
ShrinkingGroupTimeSeriesSplit,7,0.734348143337644,0.9140648588061934
ShrinkingGroupTimeSeriesSplit,8,0.7945901249472941,0.8348410627145008
ShrinkingGroupTimeSeriesSplit,9,0.7280065819531616,0.8612049915483878
ShrinkingGroupTimeSeriesSplit,10,0.7498250264318268,0.8161893991465689
ShrinkingGroupTimeSeriesSplit,11,0.7266617423282099,0.8769432230900203
ShrinkingGroupTimeSeriesSplit,12,0.764481869163856,0.8788212406038246
ShrinkingGroupTimeSeriesSplit,13,0.7655859264228291,0.8641711662473726
ShrinkingGroupTimeSeriesSplit,14,0.7132003690699944,0.8945120764334892
ShrinkingGroupTimeSeriesSplit,15,0.7583517100762436,0.8293574135507329
