feature,mean_abs_shap
num_orders_lag_1,54.33082628713017
num_orders_rolling_mean_2,35.17738623687445
num_orders_rolling_mean_4,29.560981500843162
meal_orders_mean,27.29028289366197
num_orders_rolling_mean_14,20.034368205394973
homepage_featured_prod_discount_prod_center_orders_mean,18.480589737107877
checkout_price,16.65240406677337
base_price_prod_emailer_for_promotion_prod_discount_pct_prod_center_orders_mean_prod_meal_orders_mean,15.796008291751177
num_orders_rolling_mean_10,15.325813916049883
center_orders_mean,13.341014488455066
num_orders_rolling_mean_3,11.255490214819064
num_orders_rolling_mean_28,10.391483533086442
mean_orders_by_weekofyear,9.454633402618434
checkout_price_prod_price_diff_prod_meal_orders_mean,9.451533018356251
category,8.56567435469306
num_orders_rolling_mean_8,8.137479377825153
emailer_for_promotion_rolling_mean_10,7.294293680134746
checkout_price_prod_emailer_for_promotion,7.238992980651965
num_orders_lag_5,6.836358504230602
discount_pct_prod_center_orders_mean_prod_mean_orders_by_weekofyear,6.7476169626299685
discount_prod_meal_orders_mean_prod_mean_orders_by_weekofyear,5.748353505142245
meal_orders_std,4.824007856860818
homepage_featured_rolling_mean_10,4.713869212872569
mean_orders_by_month,4.103836367728412
emailer_for_promotion_prod_mean_orders_by_month,3.369854488136728
num_orders_lag_2,3.3055880221610185
base_price_prod_mean_orders_by_month,3.1542234824272053
num_orders_lag_3,3.0287900199671505
homepage_featured_rolling_mean_3,2.98217152828415
cuisine,2.9375625813557193
num_orders_rolling_std_28,2.6462319944629438
discount_pct_prod_price_diff_prod_center_orders_mean,2.199709040723119
emailer_for_promotion_prod_discount_prod_discount_pct_prod_center_orders_mean_prod_mean_orders_by_month,2.1898332590779686
checkout_price_prod_base_price_prod_emailer_for_promotion_prod_discount_prod_mean_orders_by_weekofyear,1.8544317700192614
num_orders_rolling_std_12,1.7266209915858746
emailer_for_promotion_rolling_mean_3,1.657743916743679
center_type,1.568154581659544
checkout_price_prod_discount_pct_prod_price_diff_prod_center_orders_mean,1.539811331674588
num_orders_rolling_std_8,1.4602748725309824
num_orders_rolling_std_2,1.4277515979871276
discount_pct_prod_price_diff_prod_mean_orders_by_month,1.3718464966661434
discount_pct,1.359173968913607
num_orders_rolling_std_7,1.3352906594522358
num_orders_rolling_mean_7,1.2399023948537486
discount,1.2391001904720431
num_orders_rolling_std_10,0.6833940067505043
emailer_for_promotion_prod_discount,0.5496648337178117
