cv,fold,rmsle,mae,r2
TimeSeriesSplit,1,0.5563990933427897,73.2571598440177,0.8296786384863043
TimeSeriesSplit,2,0.5137098243491711,63.45826618473203,0.871739746663514
TimeSeriesSplit,3,0.5657686218802068,68.66507812497323,0.8314077231011783
TimeSeriesSplit,4,0.5290038045049866,73.10313203863333,0.8620082887392506
TimeSeriesSplit,5,0.5696130883782521,66.43813736775984,0.7968913859558451
GroupTimeSeriesSplit,1,0.5506409783420751,89.32755334400004,0.8167913643842999
GroupTimeSeriesSplit,2,0.549800251784331,81.84344262053789,0.7751454808657472
GroupTimeSeriesSplit,3,0.5583245591324664,64.41244003428992,0.8372556715070489
GroupTimeSeriesSplit,4,0.5294583013925241,75.68012010686161,0.7984760913490435
GroupTimeSeriesSplit,5,0.5602733282068468,72.38203800734604,0.8000495210284022
