,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
lag1_x_rolling_mean_3,0.19381443998335057,-0.05700436156619267,-0.017173421452873282,-0.07328872004051262,0.18749563424964352,0.016766442816446184,0.0989964280097621,0.048625594224018166,-0.007948330037844752,-0.02902290448318429,-0.02170142438654419,0.06388217460070705
lag1_x_rolling_mean_2,0.1872973135544177,-0.053722392366722826,-0.0055216506730824625,-0.0780809889768613,0.2250144625411334,0.043267325610555206,0.12440863881717652,0.09322219616193422,-0.001575667525330017,-0.027146798563299376,-0.04171617995868745,0.047509116954641474
rolling_mean_2_x_rolling_mean_3,0.171050429880017,-0.07669399062111197,-0.08423883626796173,-0.0855370796965492,0.3000481900789165,0.08365843138309838,0.06599328824096037,0.07928551379923068,0.004626136459288979,-0.0005397645385390662,-0.04972543078104689,0.014660418252708975
num_orders_lag_1,0.15443406920979147,-0.016015098080122955,0.2588527983227395,-0.008852890765259708,-0.18632695688118311,-0.1442982932929354,0.2045517198254336,0.08087096236155904,-0.11266614798611349,-0.09915480443446584,0.0992620670726471,0.1316652057667756
num_orders_rolling_mean_14,0.19134281627129515,-0.06868250531054632,-0.08071779375184819,-0.027221018932219662,-0.04863855881994909,0.012019557592091338,-0.13461894513718212,-0.21965190052374545,0.01811154624226008,-0.0015106530600384742,0.06786412285701576,0.07905695985222129
center_meal_orders_median_prod,0.17356820218489005,-0.02221424640886837,-0.1019150312873888,0.08355495154491696,-0.12526755515435134,0.03925608909171898,0.036699683168190896,0.2278602148028918,0.06692689703427833,0.011938117922320432,-0.06383211338763305,-0.130774461474802
price_diff_x_emailer,0.036048684092710975,0.28008028478521174,-0.18738193599477332,0.05732376164886712,-0.023326614102916237,0.1385155804800482,0.1123000407772729,-0.031801603447687427,0.015144955360819006,-0.02096447478630279,0.020497277738245927,0.1615379226379641
num_orders_rolling_mean_5,0.18350180897796467,-0.07411806546208068,-0.0643953098495529,-0.06795124258576526,0.1472999957533564,0.018809941951526958,-0.029287834352611505,-0.0699821122624027,-0.05144823239934729,0.05743263136223264,0.04118384703700389,-0.08748164449752752
num_orders_rolling_mean_14_sq,0.19321254691584033,-0.07012481066484678,-0.05293455699784566,-0.03342089443340645,-0.05858477297350792,0.012834252395015136,-0.12116583848162672,-0.2132311260944861,0.019560128276789678,-0.004738502238634963,0.06833561373922434,0.052366585144132616
num_orders_rolling_mean_21,0.17863993832872804,-0.08263517870375643,-0.06404612406456527,0.018939984131707218,-0.18406306289391328,0.019910667903706426,-0.09151784997223716,-0.133967835841424,0.022035917064206455,-0.07413199681119158,-0.005112402736186992,0.18860259224963102
