feature,importance
orders_lag_3,1138
orders_trend_3,1050
orders_lag_7,684
orders_trend_7,662
orders_ewma_3,325
orders_lag_1,252
orders_min_10,230
orders_volatility_7,174
checkout_price,153
price_diff,152
lag1_x_homepage,143
orders_std_3,140
center_avg_orders,138
base_price,133
orders_lag_2,126
lag1_x_emailer,123
center_std_orders,119
orders_ewma_7,117
discount_x_emailer,116
meal_avg_orders,112
orders_ewma_14,109
orders_lag_4,104
orders_mean_3,97
orders_lag_10,91
orders_lag_5,89
orders_min_14,81
orders_mean_21,77
orders_min_21,77
month,67
price_x_emailer,64
orders_std_5,60
center_id,59
orders_lag_14,58
orders_mean_5,53
orders_max_10,52
weekofyear,52
orders_mean_14,52
price_x_homepage,51
orders_std_7,49
orders_std_21,48
discount_pct,46
orders_mean_7,45
orders_max_14,45
discount,42
orders_std_14,41
orders_max_21,40
orders_mean_10,39
meal_std_orders,37
meal_id,31
orders_std_10,28
center_type_TYPE_A,13
emailer_for_promotion_rolling_sum_3,13
is_quarter_start,10
is_month_start,9
center_type_TYPE_B,9
homepage_featured_rolling_sum_3,9
category_Rice Bowl,8
homepage_featured,8
category_Beverages,7
category_Salad,5
emailer_for_promotion,4
category_Pizza,3
category_Sandwich,3
cuisine_Italian,2
cuisine_Continental,2
cuisine_Indian,2
category_Starters,1
center_type_TYPE_C,1
cuisine_Thai,0
category_Pasta,0
category_Other Snacks,0
category_Soup,0
category_Biryani,0
category_Extras,0
category_Fish,0
category_Desert,0
category_Seafood,0
