feature,mean_abs_shap
lag1_x_rolling_mean_3,45.77499844308851
lag1_x_rolling_mean_2,25.586244406725854
num_orders_rolling_median_14,22.89579789731147
center_meal_orders_mean_prod,16.655731473507377
num_orders_exp_ma_10,14.350919290960212
cuisine_lag1_interaction,11.59182593138996
num_orders_rolling_median_10,11.00776993703878
center_meal_orders_median_prod,9.93996309418706
num_orders_lag_1,9.822041399783897
center_type_lag1_interaction,8.791924581564947
num_orders_exp_ma_5,8.576147705180578
category_seasonal_demand,8.186910757162176
rolling_mean_2_x_rolling_mean_3,8.008518258253277
price_diff_x_emailer,6.189603992738562
num_orders_exp_lag_4,6.0299278610808145
num_orders_rolling_median_5,5.571010195233329
price_diff,5.556490195828064
category_homepage_featured_interaction,4.978990062675278
cuisine_seasonal_demand,4.841887004093075
rolling_mean_5_x_emailer,4.81086782243468
category_emailer_for_promotion_interaction,4.807427173658019
num_orders_exp_lag_1,4.697269393749711
rolling_mean_2_x_price_diff,4.649978590364156
num_orders_exp_lag_8,3.703799982577241
center_mean_x_discount,3.649812594132932
cuisine_price_interaction,3.51392128188526
rolling_mean_3_x_emailer,3.4347612469915485
num_orders_rolling_trend_14,3.3969604385441112
num_orders_rolling_mean_5,3.3235322061934793
rolling_mean_2_x_home,3.0404843527569243
lag1_x_home,2.993224872640949
category_price_interaction,2.9053665552547665
num_orders_exp_ma_7,2.87992761585769
homepage_featured_poly2_discount,2.8563931270068426
price_diff_x_home,2.8312666626012146
num_orders_rolling_mean_14,2.68600710324609
rolling_mean_2_x_discount_pct,2.634562260303603
residual_correction_week,2.481031809888733
cuisine_discount_interaction,2.4784353688357874
meal_mean_x_discount,2.4586747722692963
checkout_price,2.1587223163685345
num_orders_exp_ma_3,2.1157798691810408
lag1_x_emailer,2.079273101296015
center_type_seasonal_demand,2.0309994169928944
category_lag1_interaction,1.7815310165937523
num_orders_rolling_trend_2,1.6061605389760152
rolling_mean_2_x_emailer,1.5807901948187268
emailer_for_promotion_rolling_mean_14,1.5746367932538228
center_orders_std,1.4688106931004592
emailer_for_promotion,1.4097455849854694
mean_orders_by_weekofyear,1.3984632149883085
lag1_x_lag2,1.3267820741681526
discount_pct,1.318057326710415
homepage_featured,1.2772839738244242
category_discount_interaction,1.2401162727899613
center_orders_mean,1.2322590401186289
center_orders_mean_poly2_meal_orders_mean,1.195970433721296
meal_orders_median,1.1778462427480203
emailer_for_promotion_rolling_mean_13,1.0825662742121633
emailer_for_promotion_rolling_mean_7,1.0763270634027544
num_orders_rolling_skew_10,1.0749728094968813
mean_orders_by_month,1.070584883852437
price_ratio,1.04422529791099
weekofyear,1.0038931564245621
homepage_featured_rolling_mean_5,0.9944744912918665
emailer_for_promotion_rolling_mean_8,0.9925206797342855
lag1_x_month_sin,0.9743652478495144
num_orders_lag_10,0.9731260066006386
num_orders_exp_lag_6,0.9723691586052824
num_orders_rolling_trend_5,0.9600680557029834
center_type_price_interaction,0.9388189921582522
weekofyear_cos,0.8801805350075109
homepage_featured_rolling_mean_13,0.8596288413458398
num_orders_exp_lag_7,0.8375039176433393
meal_orders_std,0.8206552583009895
cuisine_homepage_featured_interaction,0.8168876875488801
month_sin,0.8110290088577384
base_price_poly2_discount_pct,0.8095788383990017
homepage_featured_rolling_mean_7,0.8046895038146211
num_orders_rolling_mean_2,0.8003483192965191
discount,0.7926608340816318
base_price,0.7780017588280038
center_id_target_encoded,0.77067841238703
