feature,mean_abs_shap
lag1_x_rolling_mean_3,29.0051437168619
num_orders_lag_1,19.53886574580531
num_orders_exp_ma_10,18.84559740169849
lag1_x_rolling_mean_2,10.580194345401573
num_orders_exp_ma_7,10.374487912361396
num_orders_rolling_median_14,10.101682117966721
num_orders_exp_ma_5,9.621031081884393
center_meal_orders_mean_prod,9.505464858128544
num_orders_rolling_median_10,8.713999719733426
num_orders_exp_lag_1,8.674337713848303
num_orders_rolling_median_21,8.384323227746972
center_meal_orders_median_prod,7.950401222646434
num_orders_rolling_mean_2,7.339401609976127
price_diff_x_emailer,6.64701052944491
num_orders_exp_lag_4,6.6077308966413835
lag1_x_home,6.2809889024562775
num_orders_rolling_mean_3,5.786097849442642
num_orders_rolling_mean_21,5.708364957152395
price_diff,5.60514039740065
checkout_price,5.195840685257985
num_orders_rolling_median_5,5.156136192057288
residual_correction_week,5.1237083681739914
num_orders_rolling_mean_14,5.034081910801178
rolling_mean_2_x_emailer,4.634525026555196
rolling_mean_3_x_emailer,4.5126120105973015
homepage_featured_poly2_discount,4.412088916300179
num_orders_rolling_mean_5,4.32727480685931
num_orders_exp_lag_8,4.325193599030227
rolling_mean_5_x_emailer,4.2516344187160335
center_mean_x_discount,3.503953215488321
meal_mean_x_discount,3.5005772426873674
price_ratio,3.4914114659897826
rolling_mean_2_x_home,3.3317041149048134
num_orders_rolling_trend_21,3.330200884834717
homepage_featured,3.051912290203084
price_diff_x_home,3.004174341244204
rolling_mean_2_x_rolling_mean_3,2.9329639579813134
discount_pct,2.8894088535832516
meal_orders_median,2.8814385257024164
lag1_x_emailer,2.8319899798948436
base_price,2.799718063718758
rolling_mean_2_x_discount_pct,2.729944515495749
rolling_mean_2_x_price_diff,2.724315209865922
meal_orders_std,2.575573968434028
mean_orders_by_weekofyear,2.5610877594063646
center_orders_mean_poly2_meal_orders_mean,2.488439186350001
num_orders_exp_lag_12,2.4084540781945467
num_orders_exp_lag_6,2.177266825705988
num_orders_exp_ma_3,2.163218344087506
emailer_for_promotion,2.147673128547536
category_Beverages,1.963905859764113
num_orders_rolling_median_2,1.9601116853411733
num_orders_rolling_trend_14,1.868819939808415
discount,1.72602374187577
num_orders_rolling_median_3,1.7064659437032395
meal_orders_mean,1.6829600890695346
num_orders_rolling_trend_10,1.628490208930155
base_price_poly2_discount_pct,1.5597198588991095
lag1_x_lag2,1.4948271682439755
mean_orders_by_month,1.4853255530803122
num_orders_rolling_trend_5,1.4749732551612438
weekofyear,1.433981301732334
emailer_for_promotion_rolling_mean_21,1.4269474516870437
center_orders_std,1.352260203034014
emailer_for_promotion_rolling_mean_14,1.346250584121278
num_orders_exp_lag_7,1.2784532841168703
weekofyear_cos,1.264560241364043
seasonal_week_x_price,1.1967814891555622
emailer_for_promotion_rolling_mean_20,1.1865174243829173
center_orders_mean,1.1743088461357842
lag1_x_month_sin,1.1454789024260077
num_orders_rolling_trend_2,1.1415636582480326
center_id_target_encoded,1.1232427019360727
emailer_for_promotion_rolling_mean_8,1.10424560526249
homepage_featured_rolling_mean_5,1.0827494487533045
homepage_featured_rolling_mean_21,1.0822414042925068
emailer_for_promotion_rolling_mean_13,1.038972875663909
weekofyear_sin,1.0226371333323108
num_orders_rolling_skew_10,1.0007676411613071
weekofyear_centered_sq,0.982214796639996
cuisine_Italian,0.942658435286637
num_orders_lag_5,0.9380193995906202
num_orders_lag_10,0.9228794245899905
num_orders_rolling_mean_10,0.9190169582083652
lag1_x_weekofyear_sin,0.8996163487391446
num_orders_exp_lag_10,0.8801287035893198
month_sin,0.8591772061545274
homepage_featured_rolling_mean_20,0.8546582187530387
num_orders_exp_lag_5,0.8401555561743345
homepage_featured_rolling_mean_8,0.8330782387701249
residual_correction_price,0.8048861603588459
num_orders_rolling_trend_3,0.7967863377690204
emailer_for_promotion_rolling_mean_7,0.7890549576987561
emailer_for_promotion_rolling_mean_5,0.7685412695634258
num_orders_rolling_std_10,0.76807923922582
num_orders_rolling_std_14,0.7570729316943688
num_orders_rolling_std_2,0.7569609057133663
num_orders_rolling_std_21,0.7553300343013652
homepage_featured_rolling_mean_13,0.7374734430344408
homepage_featured_rolling_sum_12,0.7343650416377175
meal_id_target_encoded,0.6737428253518819
center_type_TYPE_B,0.6287591301592464
homepage_featured_rolling_mean_3,0.6165482800798594
center_orders_median,0.5995503310772654
num_orders_rolling_skew_21,0.5854443231564307
rolling_mean_2_x_weekofyear,0.5749934806605005
category_Sandwich,0.5652967133177501
homepage_featured_rolling_sum_4,0.5652730661478936
homepage_featured_rolling_mean_7,0.5575297756835682
num_orders_lag_3,0.5466737622268227
month_cos,0.5358438286792162
cuisine_Continental,0.5358335401412846
emailer_for_promotion_rolling_mean_2,0.5342236908743311
num_orders_rolling_skew_14,0.5196656741470438
center_meal_orders_mean_div,0.5071708138783104
homepage_featured_rolling_sum_3,0.4966547719856297
emailer_for_promotion_rolling_sum_8,0.4951071805148998
category_Extras,0.4883455910934761
homepage_featured_rolling_mean_14,0.4876485643724404
center_type_TYPE_C,0.4805748440918894
