feature,mean_abs_shap
num_orders_lag_1,121.02981342520575
num_orders_diff_1,50.884275300427774
demand_pct_change_1,39.92377198942598
cummean_num_orders,39.24303134555035
num_orders_diff_2,16.95643632045556
num_orders_lag_2,9.12525675252958
rolling_min_3,5.330246042892867
rolling_mean_3,4.986150366072102
rolling_median_3,3.4702475059738522
num_orders_lag_3,3.2085069657272594
cumsum_num_orders,0.8191138628921348
rolling_max_3,0.4992271074938718
rolling_min_5,0.34555985772555453
price_diff,0.31988248913896006
rolling_min_10,0.31057719047507193
rolling_std_3,0.30769939484345993
discount_x_promo,0.2940744346133221
num_orders_lag_5,0.28680976542641873
rolling_median_10,0.2866076067203892
discount,0.2491610573395056
rolling_max_10,0.22837213822051045
rolling_median_5,0.22354285510754843
checkout_price,0.15434563500082965
rolling_max_5,0.14925765645113337
num_orders_lag_10,0.1354351117460596
homepage_featured,0.12956499652588066
discount_x_homepage,0.12264095132161178
log_checkout_price,0.11073662574905044
rolling_mean_10,0.10924389025057377
checkout_price_diff_1,0.09204248026725445
price_diff_x_weekofyear,0.08923565029672918
price_ratio,0.08651862415125305
rolling_volatility_10,0.08162151699427553
discount_pct,0.07889489561884544
op_area,0.07735815531176782
base_price,0.07337239487185904
rolling_std_5,0.073037013570253
center_id,0.07302600600846347
rolling_mean_5,0.07078354773170552
month,0.04634451622559384
weekofyear_sin_2,0.0443016420546815
weekofyear_cos_2,0.044069213119086195
weekofyear_cos_1,0.043444861433900375
discount_x_weekofyear,0.039871498451212135
weekofyear_sin_3,0.03841535519784673
rolling_std_10,0.037225742605911515
rolling_volatility_5,0.037160442175885766
meal_id,0.035227684649346044
promo_x_weekofyear,0.035042298848832025
center_type_TYPE_A,0.03127119392986036
city_code,0.030808055017871726
weekofyear,0.03008928392363776
weekofyear_cos_3,0.027820641305763064
weeks_to_next_holiday,0.027588441171912077
weekofyear_sin_1,0.023133443924045267
month_cos,0.022177914480936277
seasonal_regime,0.019718735384050605
emailer_for_promotion_rolling_sum_3,0.01744315026636614
center_type_TYPE_B,0.012319257150130323
category_Rice Bowl,0.012053142410286984
month_sin,0.010664569028852319
category_Sandwich,0.008325958654589335
is_month_end,0.007754782458183843
homepage_featured_rolling_sum_3,0.007167146239451468
region_code,0.0057025812642901895
center_type_TYPE_C,0.0024919124449314625
cuisine_Indian,0.0011965981586935048
category_Salad,0.0005610949072844838
cuisine_Italian,0.0
category_Biryani,0.0
category_Desert,0.0
category_Extras,0.0
category_is_rare,0.0
cuisine_Thai,0.0
category_Starters,0.0
cuisine_Continental,0.0
category_Soup,0.0
category_Pasta,0.0
category_Other Snacks,0.0
category_Seafood,0.0
category_Fish,0.0
category_Pizza,0.0
cuisine_is_rare,0.0
center_type_is_rare,0.0
category_Beverages,0.0
is_month_start,0.0
is_quarter_start,0.0
is_quarter_end,0.0
