feature,mean_abs_shap
num_orders_lag_1,83.98829028070844
rolling_mean_10,79.28972980722811
emailer_for_promotion,33.09210775318059
rolling_mean_3,28.039329880584834
homepage_featured,19.739249838952457
price_diff,19.62911389780319
checkout_price,17.299805586921046
weekofyear,10.464981410768418
homepage_featured_rolling_sum_3,10.429346547830166
discount_pct,9.549352203639629
meal_id,8.134804558404001
num_orders_lag_2,6.937902070134247
emailer_for_promotion_rolling_sum_3,6.34659570924105
discount,5.7302627531369055
base_price,5.58526310230544
center_id,4.862998781147521
checkout_price_lag_1,4.24255578514887
num_orders_lag_3,4.2133587010959905
