feature,mean_abs_shap
num_orders_lag_1,111.40618693629966
rolling_mean_3,32.85784452696037
rolling_mean_10,29.338643247519954
price_diff_x_emailer,25.356552479198548
rolling_mean_5,18.063779528613637
checkout_price,14.36432831174531
lag1_x_emailer,12.475128567306944
lag1_x_home,11.674498646328967
price_diff,11.457368879230069
discount_pct,9.556673790397639
homepage_featured_rolling_sum_3,9.255456467907024
weekofyear,7.5718740432263605
price_diff_x_home,7.382672930497115
num_orders_lag_10,7.370688222127806
rolling_std_10,6.98377843565141
num_orders_lag_2,6.884082040280637
category_Rice Bowl,6.058733638372782
category_Sandwich,5.399912759326726
num_orders_lag_5,4.661872389666612
num_orders_lag_3,4.607552617838868
emailer_for_promotion,4.350666818227096
center_id,4.25570640809175
homepage_featured,3.4023478873761923
discount,2.99204620741791
base_price,2.9487389437471396
meal_id,2.845204846176697
cuisine_Indian,2.4737612846797377
cuisine_Italian,2.2403053896659735
rolling_std_3,1.8453316807226825
category_Salad,1.6101466856409266
center_type_TYPE_B,1.2021290889313483
cuisine_Continental,0.9968442416460064
center_type_TYPE_C,0.9099159978693682
category_Pizza,0.8238579204043468
category_Pasta,0.7379970983421754
cuisine_Thai,0.6985261478232754
category_Beverages,0.5259935638619142
center_type_TYPE_A,0.3538620720514387
category_Other Snacks,0.16927542957990654
category_Soup,0.10297285875310798
category_Extras,0.09878147606035712
category_Starters,0.08544677652103272
category_Biryani,0.032960220029087176
category_Fish,0.016702586115978513
category_Seafood,0.01032885419644466
category_Desert,0.0
