feature,mean_abs_shap
num_orders_lag_1,66.53275116072447
num_orders_rolling_mean_3,59.60034820934914
num_orders_rolling_mean_10,49.92679487031799
num_orders_rolling_mean_5,30.38010330368712
price_diff_x_emailer,14.517824323555121
checkout_price,12.76281555814094
price_diff,11.648186522356951
emailer_for_promotion,11.012350461903244
weekofyear,10.00163292343688
discount_pct,8.894995776945624
homepage_featured_rolling_sum_3,7.270285270399506
num_orders_rolling_std_10,7.190298479299604
homepage_featured,7.112239985849631
lag1_x_home,6.634963904786023
lag1_x_emailer,6.349211442269508
num_orders_lag_2,6.215205905728368
num_orders_lag_10,6.104619712711764
price_diff_x_home,6.089309148956914
num_orders_lag_3,5.616989665242406
discount,5.213350834278508
category_Rice Bowl,5.210378669656565
base_price,4.78499768740798
emailer_for_promotion_rolling_sum_3,4.691651528357056
cuisine_Italian,3.567812670770928
num_orders_lag_5,3.363225932681394
cuisine_Indian,2.816659679141417
category_Sandwich,2.6177740328125774
category_Beverages,2.4581776312269215
center_type_TYPE_C,2.1788483555218265
center_type_TYPE_B,1.871583779130338
num_orders_rolling_std_5,1.5070565734484882
category_Pasta,1.4786868347103634
num_orders_rolling_std_3,1.3628539005413394
category_Pizza,1.173128520371709
category_Salad,1.1024918855373356
cuisine_Continental,0.9545161143095414
category_Other Snacks,0.8394918544125819
cuisine_Thai,0.8146635711541129
category_Extras,0.40310127539657437
category_Biryani,0.3197896425008125
center_type_TYPE_A,0.3100143105885457
category_Soup,0.2523557611384236
category_Seafood,0.22510151462065245
category_Starters,0.20038063588280108
category_Fish,0.09094940287202283
category_Desert,0.07860377729842354
