feature,mean_abs_shap
lag1_x_rolling_mean_3,35.69576130111325
lag1_x_rolling_mean_2,23.104202779818806
num_orders_lag_1,15.819042019389316
rolling_mean_2_x_rolling_mean_3,12.840235753656382
center_meal_orders_mean_prod,12.39454994551867
num_orders_lag_1_sq,11.146223303169414
num_orders_rolling_mean_14,11.064717724815496
center_meal_orders_median_prod,10.964213250955604
num_orders_rolling_mean_5,9.441185115605816
num_orders_rolling_mean_21,7.776611732821386
num_orders_rolling_mean_10,7.3186505863254165
num_orders_rolling_mean_14_sq,6.850224756931573
price_diff_x_emailer,6.488057638599007
mean_orders_by_weekofyear,6.286834817378278
rolling_mean_2_sqrt,6.123591128862865
num_orders_rolling_mean_2,6.009221039764702
lag1_x_home,6.000037052247492
num_orders_rolling_mean_21_sqrt,5.159743594065964
rolling_mean_5_x_emailer,5.107947051537177
price_diff,5.101383583160648
num_orders_rolling_mean_5_sq,4.4168057147688
num_orders_rolling_mean_14_sqrt,4.15025807454309
checkout_price,4.047436658094682
price_diff_x_home,3.859159029501102
homepage_featured_poly2_discount,3.76814404989079
num_orders_rolling_mean_21_sq,3.611332762196167
rolling_mean_2_x_home,3.552757673140919
rolling_mean_2_sq,3.446250916142252
center_mean_x_discount,3.4256832162088346
checkout_price_sq,3.2223019331238723
meal_mean_x_discount,3.2080728412683994
rolling_mean_3_x_emailer,3.1939659751791534
rolling_mean_2_x_price_diff,3.151550317297525
center_orders_mean_poly2_meal_orders_mean,3.061811579821961
emailer_for_promotion,2.888965851896446
num_orders_lag_5,2.751931726002966
num_orders_rolling_mean_5_sqrt,2.5587859068218157
num_orders_lag_10,2.327673351837506
price_ratio,2.304328343524915
homepage_featured,2.270950117485573
meal_orders_std,2.2295585850747472
rolling_mean_2_x_emailer,2.086023250002467
lag1_x_emailer,2.0286857044999813
discount_pct,1.9773243363310105
num_orders_lag_5_sq,1.906120121933852
emailer_for_promotion_rolling_mean_7,1.8699544533737806
lag1_x_weekofyear_sin,1.8541568329620388
meal_orders_median,1.8242594432523833
num_orders_rolling_std_21,1.8192496591257954
weekofyear,1.8016992454958427
price_diff_sq,1.742250189496221
base_price,1.7197806121030055
num_orders_rolling_std_14,1.7176933929612195
discount_pct_sq,1.7014167014129922
category_Beverages,1.6443614386738794
rolling_mean_2_x_discount_pct,1.6314251000024402
num_orders_lag_10_sq,1.6268303149556291
num_orders_lag_3,1.613393150380763
lag1_x_lag2,1.5140723873714435
homepage_featured_rolling_mean_5,1.4353048039808638
weekofyear_cos,1.3574060785271926
lag1_x_month_sin,1.356402700035113
emailer_for_promotion_rolling_mean_21,1.317788647460731
mean_orders_by_month,1.2962260154377316
emailer_for_promotion_rolling_mean_20,1.284948386607865
emailer_for_promotion_rolling_mean_14,1.268624311889133
base_price_sq,1.2522292695487658
discount,1.228076235499238
center_orders_mean_sq,1.2215535236543673
seasonal_week_x_price,1.2175557166465691
num_orders_rolling_mean_3,1.1813720265971488
emailer_for_promotion_rolling_mean_13,1.1386878268443648
num_orders_lag_3_sq,1.130887816803662
num_orders_lag_2,1.1215786072993077
homepage_featured_rolling_mean_21,1.0938777719988075
meal_orders_mean_sq,1.0908793668517813
weekofyear_sin,1.051907567840906
center_orders_std,1.0190720382833993
base_price_poly2_discount_pct,1.0156188275376974
num_orders_rolling_std_5,0.9018500000231102
