feature,mean_abs_shap
num_orders_lag_1,117.10110958365186
rolling_mean_10,35.307937587542895
emailer_for_promotion,33.1960710051566
rolling_mean_3,29.76803532367606
price_diff,27.83078703022266
homepage_featured,18.444556670323227
rolling_mean_5,14.69037822370585
checkout_price,12.55902984322417
discount_pct,8.72472460700119
homepage_featured_rolling_sum_3,7.834416893328066
weekofyear,7.505325086328321
num_orders_lag_10,5.388409991691218
category_Sandwich,5.213783513590615
category_Rice Bowl,5.192583126733183
rolling_std_10,4.610490701185599
num_orders_lag_2,4.53840625078522
emailer_for_promotion_rolling_sum_3,4.257006852722714
num_orders_lag_3,4.061412605346472
num_orders_lag_5,3.853384183605012
discount,3.8496354236562405
center_id,3.631068069490014
meal_id,2.8597970097903955
cuisine_Italian,2.4664062485772758
base_price,2.2558005034563657
cuisine_Indian,1.8572155950564482
category_Salad,1.387299523459924
rolling_std_5,1.3370213894471978
category_Pizza,1.1014268670591638
cuisine_Continental,1.0575343980241771
center_type_TYPE_B,1.0255067213434026
rolling_std_3,0.8957128101197698
center_type_TYPE_C,0.6430286883927244
category_Pasta,0.6207437824597358
cuisine_Thai,0.6122246621057341
category_Beverages,0.4954794321849266
center_type_TYPE_A,0.277577419167552
category_Extras,0.20841931499626967
category_Other Snacks,0.16002823681408984
category_Seafood,0.05736406007237621
category_Starters,0.04708214059331899
category_Soup,0.03756977953771032
category_Fish,0.016876867205628334
category_Biryani,0.0
category_Desert,0.0
