feature,mean_abs_shap
num_orders_rolling_mean_2,56.02845377099509
num_orders_rolling_mean_5,47.68225147657486
num_orders_rolling_mean_14,40.11167769462137
meal_orders_mean,34.343252328919874
rolling_mean_2_sq,23.653605052668286
center_orders_mean,17.88156301472698
checkout_price,15.319843502293446
price_diff_x_emailer,12.34252885164111
meal_orders_std,11.82319379159061
rolling_mean_2_x_emailer,10.144946416379325
homepage_featured,8.545898721934195
emailer_for_promotion,7.698959037645625
discount_pct,7.388580380143373
rolling_mean_2_x_home,6.923941821806836
weekofyear,6.799907922226933
rolling_mean_2_x_discount_pct,6.555855799441965
price_diff,5.9110346499847575
num_orders_rolling_std_14,5.645252577834083
base_price,5.465906195125285
homepage_featured_rolling_sum_3,5.349366742834799
discount,4.848721975477611
price_diff_x_home,4.522953356989619
center_orders_std,4.487528149999494
rolling_mean_2_x_price_diff,3.667008750049153
weekofyear_sin,3.5479412400486554
weekofyear_cos,3.316368000464736
emailer_for_promotion_rolling_sum_3,3.1946933926966046
category_Beverages,2.909193884133356
num_orders_rolling_std_2,2.4624339850450916
rolling_mean_2_x_weekofyear,2.208065244554228
num_orders_rolling_std_5,2.12622297265001
category_Rice Bowl,2.028788023957348
cuisine_Continental,1.6620300859906199
center_type_TYPE_B,1.4158207033958015
cuisine_Italian,1.2735724094216014
cuisine_Thai,1.1239606771115878
center_type_TYPE_C,1.0483114630174595
category_Extras,0.9088118531450968
cuisine_Indian,0.7584922706190733
category_Other Snacks,0.626183006086523
category_Pizza,0.5153409989182484
category_Sandwich,0.44396497120807993
category_Salad,0.41006934287192803
category_Starters,0.39563725647568965
center_type_TYPE_A,0.3915869026650369
category_Desert,0.20176353004362202
category_Seafood,0.20082300003974432
category_Biryani,0.17068050587596093
category_Fish,0.08676068204199618
category_Pasta,0.08232570226843694
category_Soup,0.062268640121242474
