feature,mean_abs_shap
num_orders_lag_1,83.96393538654335
rolling_mean_10,63.70968514136089
meal_mean,31.68207051063823
homepage_featured,19.95934786908783
price_diff_x_email,17.800414408455648
rolling_mean_5,17.41943631373442
center_mean,16.00027923471987
rolling_mean_3,15.393542261427262
discount_pct,13.997494641948856
lag1_x_email,13.272863416119176
price_diff,12.714092114644394
emailer_for_promotion,9.350403711954455
weekofyear,9.040868320518221
rolling_std_10,7.890130193763785
homepage_featured_rolling_sum_3,7.818519629905388
num_orders_lag_2,5.2011828254988455
discount,4.34818262444098
emailer_for_promotion_rolling_sum_3,4.2135774002590685
num_orders_lag_10,3.5917125638526897
num_orders_lag_3,2.5625114108252167
cuisine_Continental,1.8440380318527765
num_orders_lag_5,1.8059223228470065
cuisine_Italian,1.6608758838328033
category_Sandwich,1.4836871816501227
rolling_std_5,1.277812812402257
category_Beverages,1.1237100838592433
center_type_TYPE_B,0.916430920853852
category_Rice Bowl,0.8628729310274805
cuisine_Thai,0.8532974364225341
rolling_std_3,0.8092075638530873
center_type_TYPE_C,0.7550617856524783
category_Other Snacks,0.7338076442038499
category_Pizza,0.5381492663499797
category_Salad,0.46469784397954617
cuisine_Indian,0.4077394309825224
center_type_TYPE_A,0.3391917999148991
category_Extras,0.33681247015593974
category_Starters,0.22424127574028263
category_Fish,0.14817795866878775
category_Seafood,0.103347503325951
category_Biryani,0.048515429966255054
category_Pasta,0.04114484765787463
category_Soup,0.004979174938172237
category_Desert,0.000670878249618605
