feature,mean_abs_shap
num_orders_rolling_mean_14,39.25849554063785
lag1_x_rolling_mean_2,33.20529712047807
num_orders_rolling_mean_5,28.549411342240337
center_meal_orders_mean_prod,27.866312668503582
num_orders_lag_1,24.688740369625233
num_orders_rolling_mean_2,21.849985407850447
num_orders_lag_1_sq,12.844138962468447
price_diff_x_emailer,8.424477601186524
center_mean_x_meal_mean_x_discount,8.13530841454334
price_diff,7.804291995068684
checkout_price,7.275817467501422
lag1_x_lag2,6.854877212009535
mean_orders_by_weekofyear,6.74026180011994
rolling_mean_2_x_emailer,6.722945203432283
num_orders_lag_3,5.649007738155591
num_orders_lag_5,5.640508062271946
lag1_x_emailer,4.906072746755075
emailer_for_promotion,4.732477696921452
num_orders_lag_10,4.581422695859116
rolling_mean_2_x_home,4.471255499740131
lag1_x_home,4.190636460630756
emailer_for_promotion_rolling_mean_14,3.751377829145214
meal_orders_median,3.6983064405128983
checkout_x_homepage_x_month_mean,3.627031450354926
price_diff_x_home,3.5792770090784645
mean_by_month_x_checkout,3.2550702299150363
emailer_for_promotion_ewm_alpha_0.3,3.1966697271929756
center_meal_weighted,3.0060638378399935
meal_orders_mean,2.898036438642068
meal_orders_std,2.8767879862956702
emailer_for_promotion_ewm_alpha_0.7,2.837960389737944
discount_pct_sq,2.7642247197747554
num_orders_rolling_std_14,2.6805066472276464
checkout_price_sq,2.355554835526423
category_Beverages,2.3227127162090193
weekofyear_cos,2.273148553855152
mean_orders_by_month,2.1594596455490453
discount_pct,2.1585672148653483
price_diff_sq,2.1554308031604927
meal_mean_x_discount,2.1470707082363742
base_price,2.127457243454875
homepage_featured_ewm_alpha_0.3,2.0539267905084877
weekofyear,1.980110342797671
lag1_x_month_sin,1.9726611294905265
center_orders_median,1.9223062830420314
price_ratio,1.8723349103268203
emailer_for_promotion_rolling_sum_16,1.8723346810162271
homepage_featured_rolling_mean_14,1.7250869193025848
lag1_x_weekofyear_sin,1.5824059906138692
num_orders_lag_2,1.4653484806080403
mean_by_weekofyear_x_checkout,1.4400904459853523
homepage_featured_ewm_alpha_0.7,1.4149561775987247
weekofyear_sin,1.304399121631585
center_orders_mean,1.2994138693563835
center_mean_x_discount,1.2852162488922203
center_orders_std,1.2814276641724247
homepage_featured,1.1499694222737717
checkout_x_homepage_x_discount,1.08296996378262
discount,1.0703771202325751
homepage_featured_rolling_mean_5,1.061308786984572
homepage_featured_rolling_sum_16,0.9793243087437308
base_price_sq,0.9705555695377107
num_orders_rolling_std_5,0.9534440933653243
center_type_TYPE_B,0.9025774884435452
weekofyear_centered_sq,0.8974953659386272
month_sin,0.882910484557064
num_orders_rolling_std_2,0.8494987452571193
emailer_homepage_combined,0.8265829951481406
center_meal_orders_mean_div,0.6719813554608324
center_type_TYPE_C,0.6678226180023202
month_cos,0.6483270329689531
emailer_for_promotion_rolling_sum_4,0.6456184858125518
category_Extras,0.627906531573622
center_meal_ratio,0.6194900431095153
cuisine_Italian,0.6183978905532046
mean_by_month_x_discount,0.5719468531736488
cuisine_Thai,0.45501226999359046
category_Rice Bowl,0.43369128481021646
category_Starters,0.4074705193917436
homepage_featured_rolling_sum_4,0.39878723044004816
category_Pizza,0.3876221663901701
cuisine_Continental,0.37700657258195475
category_Sandwich,0.3373150676333265
emailer_for_promotion_rolling_mean_5,0.32356058316089004
base_price_x_discount_pct,0.30079910608715543
category_Salad,0.2995628480196841
month_centered_sq,0.29202102817283143
emailer_homepage_combined_rolling_mean_7,0.25304592635950957
cuisine_Indian,0.24627374879136685
center_type_TYPE_A,0.2107942347300298
category_Desert,0.14963915188165605
homepage_featured_rolling_mean_2,0.14519984316102344
emailer_for_promotion_rolling_mean_2,0.14463427974279347
category_Other Snacks,0.12790576709380955
category_Seafood,0.03412772544564073
category_Pasta,0.03068870305987334
category_Fish,0.03025962483206396
category_Soup,0.019569664049762275
category_Biryani,0.0
lag1_x_rolling_mean_3,0.0
rolling_mean_2_x_rolling_mean_3,0.0
rolling_mean_2_x_rolling_mean_3_x_emailer,0.0
