feature,mean_abs_shap
lag1_x_rolling_mean_5,74.74663373080739
rolling_mean_2_x_rolling_mean_5,19.895203629903673
lag1_x_rolling_mean_2,19.395510318226258
num_orders_rolling_mean_14,16.724018910637977
num_orders_rolling_mean_14_sq,8.99829177374391
center_meal_orders_median_prod,8.63444318366705
num_orders_lag_8,8.461287797660283
num_orders_lag_1,8.17056971971266
lag1_x_lag4,7.251166726322734
meal_orders_mean_poly2_center_orders_mean,6.891831125288169
center_meal_orders_mean_prod_sq,6.872578438085341
mean_orders_by_weekofyear,6.715095956382392
price_diff_x_emailer,6.566222799525384
checkout_price,6.235081620535856
price_diff,6.186975481298558
rolling_mean_2_x_home,5.278578188870911
rolling_mean_14_x_emailer,5.0671112313320466
num_orders_lag_1_sq,4.813601775161854
rolling_mean_2_x_price_diff,4.730617048727954
center_mean_x_meal_mean_x_discount,4.641449890664964
center_meal_orders_std_prod,4.379830438389372
rolling_mean_5_x_emailer,4.186975270187067
num_orders_rolling_mean_5,4.1105194699903835
homepage_featured_poly2_discount,4.067613553706604
emailer_for_promotion_ewm_alpha_0.5,3.762656713465309
emailer_for_promotion_rolling_mean_14,3.5379454852949723
rolling_mean_2_x_rolling_mean_5_x_emailer,3.524047738605604
num_orders_rolling_mean_14_sqrt,3.4723368432287693
num_orders_rolling_mean_2,3.457538655845037
rolling_mean_2_sqrt,3.392913420142947
lag1_x_home,3.3817599642894782
meal_orders_median,3.1372168398257996
mean_by_month_x_checkout,3.084513904654892
rolling_mean_2_x_discount_pct,2.9654265145727967
category_Beverages,2.9557074205934004
homepage_featured_ewm_alpha_0.5,2.7916798401144103
price_diff_x_home,2.5733698787969135
num_orders_rolling_std_14,2.5263043432303576
mean_orders_by_month,2.431610854896267
checkout_price_sq,2.3417860623514426
weekofyear_cos,2.3130030108940303
base_price,2.285327254190115
homepage_featured,2.227652238480457
lag1_x_emailer,2.1320506391995933
lag1_x_month_sin,2.0640844025276306
price_diff_sq,1.9437679104344086
weekofyear,1.9423559874947305
rolling_mean_2_x_emailer,1.9319479456979465
center_meal_orders_mean_prod_cubic,1.9007137026218317
emailer_for_promotion_rolling_mean_8,1.9004899889474507
meal_orders_std,1.8687079968844214
lag2_x_rolling_mean_5,1.8562793901120487
lag1_x_weekofyear_sin,1.7369078270357332
homepage_featured_rolling_mean_8,1.709312876495048
center_mean_x_discount,1.6856100450512634
discount_pct,1.6667494002649463
meal_mean_x_discount,1.6465231742523654
seasonal_week_x_price,1.5505415520851868
center_meal_orders_mean_prod,1.5207981329424647
weekofyear_sin,1.4931889292821436
num_orders_rolling_std_5,1.4894463596428553
emailer_for_promotion_rolling_sum_16,1.479531620708614
discount_pct_sq,1.413545997349027
price_ratio,1.4123931083869894
center_orders_mean_poly2_meal_orders_mean,1.3645401033755629
num_orders_lag_4,1.35787337575062
base_price_poly2_discount_pct,1.3306992203849388
homepage_featured_rolling_sum_16,1.2561612990321127
homepage_featured_rolling_mean_14,1.2176960540700628
num_orders_rolling_std_2,1.1967433367344076
meal_orders_mean_sq,1.1950348893268679
num_orders_lag_2,1.1745460758696262
center_meal_weighted,1.0682648008484605
emailer_homepage_combined,1.025434450239508
center_orders_mean_sq,1.0201804094075981
rolling_mean_2_x_weekofyear,1.0133241273988574
lag1_x_lag2,1.0132126802697734
center_orders_median,1.001487786938762
center_orders_std,0.9626431439777434
num_orders_lag_2_sq,0.9561559083148226
center_type_TYPE_B,0.9149163419464152
lag2_x_lag4,0.8341600532865033
base_price_sq,0.8100328520930637
num_orders_lag_1_cubic,0.7781102935737639
weekofyear_centered_sq,0.7603769490716873
emailer_for_promotion,0.7347527590655327
month_sin,0.719211035124047
num_orders_lag_4_sq,0.7095073787478674
center_meal_ratio,0.6992243582468188
center_type_TYPE_C,0.6938491912167278
emailer_for_promotion_rolling_sum_8,0.6874180011880414
cuisine_Italian,0.6661498739360393
center_meal_orders_mean_div,0.6545254025001527
month_cos,0.626143631052119
discount,0.6152039628641591
rolling_mean_2_cubic,0.6015318437549322
mean_by_month_x_discount,0.5771927119582999
rolling_mean_2_sq,0.5727958305156843
num_orders_rolling_mean_5_sq,0.5415807868293978
center_orders_mean_cubic,0.5327151317321498
cuisine_Continental,0.5306162871353535
meal_orders_mean_cubic,0.5288662459398146
homepage_featured_rolling_sum_8,0.5112019630498738
lag2_x_rolling_mean_2,0.5059197750179577
num_orders_lag_2_cubic,0.4928716405821283
homepage_featured_rolling_mean_3,0.46558692651418293
category_Starters,0.45022110460653403
num_orders_rolling_mean_5_sqrt,0.44928304556431564
discount_sq,0.4461468891692194
category_Rice Bowl,0.4201718214899172
category_Extras,0.41470365932488285
cuisine_Thai,0.3731846907170775
center_type_TYPE_A,0.33006678654744676
emailer_homepage_combined_rolling_mean_3,0.325911555722162
emailer_homepage_combined_rolling_mean_14,0.3254900129656754
month_centered_sq,0.30655649492868753
category_Salad,0.2786655453168493
cuisine_Indian,0.26245000212098873
meal_orders_mean,0.23411791291045053
center_orders_mean,0.21849924999275347
category_Pizza,0.19652342314062796
category_Other Snacks,0.16298675246527752
homepage_featured_rolling_sum_3,0.1562283703667107
category_Sandwich,0.13676836627581354
emailer_for_promotion_rolling_mean_3,0.11685663381110066
category_Desert,0.11229824692051095
category_Seafood,0.05946526725922301
emailer_for_promotion_rolling_sum_3,0.05194829802696433
category_Soup,0.043131150829443986
num_orders_rolling_mean_2_sq,0.040127616077858225
category_Fish,0.03354783143526697
category_Pasta,0.021220352977541778
num_orders_rolling_mean_2_sqrt,0.013558629037609406
category_Biryani,0.0
