Disagreement_Bin,Avg_Disagreement,Sample_Count,LGB_RMSLE,CAT_RMSLE,META_RMSLE,Error_Improvement_Pct,LGB_Error_Var,CAT_Error_Var,META_Error_Var,Variance_Reduction_Pct
0.00-19.65,4.513158856768357,24276,0.46390652147621764,0.46521627016312,0.4553734724580812,1.8393897526991116,3174.8516513291684,3186.881318927029,3074.9656150270284,3.146163892738803
19.65-39.30,26.684259361796673,1384,0.34021149153651636,0.35424382322566794,0.3360427113276234,1.2253496171058902,14144.465898549006,14399.571274126425,13989.063762110252,1.0986780098546904
39.30-58.95,47.1614979349187,365,0.4228943708931606,0.4295043344726912,0.40635108658988695,3.9119187773376973,19993.84295501583,21999.136547180453,18778.559629406835,6.078287842628662
58.95-78.61,66.81592322788373,114,0.3667993522787602,0.4057396402846245,0.35633467702801525,2.852969937305673,25959.88167765438,31729.677258358883,25839.26221702699,0.46463794452197205
78.61-98.26,88.3583202532005,46,0.4024887222774443,0.42647935755109284,0.38293730009005716,4.857632302529441,22527.399698029585,25074.55061284062,19045.36100346598,15.456904663826649
98.26-117.91,107.02936532009568,34,0.5252911542082469,0.5670885120050976,0.5215492345890617,0.7123515386101078,54318.54239171774,69309.17230640858,56556.04698049762,-4.1192279657361395
117.91-137.56,127.62111853375028,15,0.3322216836845079,0.3293595521881183,0.29924915152551296,9.142106388767303,27335.65568267708,27117.540648653496,25395.643291492415,6.349754867046102
137.56-157.21,148.4868403864427,11,0.2596224152285455,0.20482560240452388,0.1718951470323912,16.077314059155608,14776.67099216744,8227.145049197947,3069.2752677518215,62.69331281510539
157.21-176.86,163.25742222983808,13,0.5914681206639355,0.6546923093463393,0.5971160518887371,-0.9549003619098927,27527.094068492574,77808.9112748462,43091.93025178357,-56.543695257344496
176.86-196.52,183.9785390496567,6,0.4681028278138989,0.36506763748269583,0.3505285790510983,3.982565677925006,18622.32803698041,7570.931968816437,1025.7190247106723,86.45187899012355
